Store Number,Power Outage Risk Evaluation,Project Status,Generator Qualification,Projected Install Completion Date,Actual Install Completion Date
2494,,,Yes,,
2495,,,No,,
2496,,,No,,
2497,,,No,,
2499,,,No,,
2501,,Complete,Already Approved,1/1/2015,1/1/2015
2502,,,No,,
2503,,,Yes,,
2504,,,Yes,,
2505,,Scheduled,Already Approved,2/26/2024,
2506,,,Yes,,
2507,,,No,,
2508,,,No,,
2509,,,No,,
2510,,,No,,
2511,,,No,,
2512,,,No,,
2513,,,No,,
2514,,,No,,
2515,,,No,,
2516,,,No,,
2517,,,No,,
2518,,,No,,
2519,,,Yes,,
2520,,Scheduled,Already Approved,2/23/2024,
2522,,,No,,
2523,,,No,,
2526,,,No,,
2527,,,No,,
2528,,,No,,
2529,,,No,,
2530,,,No,,
2531,,,No,,
2532,,,No,,
2533,,Scheduled,Already Approved,9/29/2023,
2534,,,No,,
2535,,,Yes,,
2536,,,No,,
2537,,,No,,
2538,,,No,,
2539,,,No,,
2540,,,Yes,,
2541,,,Yes,,
2542,,,Yes,,
2543,,,Yes,,
2544,,,No,,
2545,,,No,,
2546,,,No,,
2547,,,Yes,,
2548,,,No,,
2549,,,No,,
2550,,,Yes,,
2551,,,No,,
2553,,,No,,
2554,,,No,,
2555,,,No,,
2556,,,No,,
2557,,,Yes,,
2558,,,No,,
2559,,,No,,
2560,,,Yes,,
2561,,,No,,
2562,,,No,,
2563,,,Yes,,
2564,,,No,,
2565,,,No,,
2566,,,No,,
2567,,,No,,
2568,,,No,,
2571,,,No,,
2572,,,Yes,,
2574,,,No,,
2575,,,No,,
2576,,,No,,
2577,,,No,,
2579,,,Yes,,
2580,,,Yes,,
2581,,,Yes,,
2582,,,No,,
2583,,,No,,
2584,,,Yes,,
2585,,,No,,
2586,,,No,,
2587,,Complete,Already Approved,7/30/2019,7/30/2019
2588,,,Yes,,
2590,,,No,,
2591,,Complete,Already Approved,12/16/2016,12/16/2016
2592,,,Yes,,
2593,,,No,,
2594,,,No,,
2595,,,No,,
2596,,,No,,
2597,,,Yes,,
2598,,,No,,
2599,,,Yes,,
2600,,,No,,
2603,,,Yes,,
2604,,,No,,
2605,,,Yes,,
2607,,,No,,
2608,,,No,,
2609,,,No,,
2610,,,Yes,,
2611,,,Yes,,
2612,,,No,,
2613,,,No,,
2614,,,Yes,,
2615,,,No,,
2616,,,No,,
2617,,,No,,
2618,,,No,,
2619,,,Yes,,
2620,,,No,,
2621,,,Yes,,
2626,,,No,,
2627,,,Yes,,
2628,,,No,,
2629,,,Yes,,
2630,,Complete,Already Approved,10/25/2022,10/25/2022
2631,,,Yes,,
2632,,,Yes,,
2633,,,No,,
2634,,,No,,
2636,,,No,,
2637,,,No,,
2638,,,Yes,,
2639,,,Yes,,
2640,,,No,,
2641,,,No,,
2642,,Complete,Already Approved,1/1/2014,1/1/2014
2643,,,No,,
2644,,,Yes,,
2645,,Scheduled,Already Approved,11/30/2023,
2646,,,No,,
2647,,,No,,
2648,,,No,,
2649,,,Yes,,
2650,,,No,,
2651,,,Yes,,
2652,,,Yes,,
2653,,,No,,
2654,,,No,,
2656,,,Yes,,
2658,,,No,,
2659,,,No,,
2660,,,No,,
2662,,,No,,
2663,,,Yes,,
2664,,,Yes,,
2665,,Complete,Already Approved,4/27/2023,4/27/2023
2666,,,No,,
2667,,Complete,Already Approved,2/1/2022,2/1/2022
2668,,,No,,
2671,,,No,,
2672,,,No,,
2674,,,No,,
2678,,,No,,
2679,,,No,,
2681,,,No,,
2682,,,No,,
2683,,,No,,
2684,,Pending,Already Approved,,
2686,,,No,,
2687,,,Yes,,
2688,,,Yes,,
2689,,,Yes,,
2690,,,No,,
2691,,,No,,
2692,,,No,,
2693,,,No,,
2694,,,No,,
2695,,Complete,Already Approved,4/4/2018,4/4/2018
2696,,,No,,
2697,,,Yes,,
2699,,,Yes,,
2700,,,Yes,,
2702,,,No,,
2703,,Scheduled,Already Approved,11/9/2023,
2704,,Scheduled,Already Approved,12/15/2023,
2705,,,No,,
2706,,Scheduled,Already Approved,1/10/2024,
2708,,,Yes,,
2710,,,Yes,,
2711,,,No,,
2712,,,No,,
2713,,,No,,
2714,,,No,,
2715,,,No,,
2716,,,Yes,,
2717,,,No,,
2718,,,Yes,,
2719,,,No,,
2720,,,Yes,,
2721,,Complete,Already Approved,1/1/2015,1/1/2015
2722,,,Yes,,
2723,,,Yes,,
2724,,Complete,Already Approved,7/27/2020,7/27/2020
2725,,,No,,
2726,,,Yes,,
2727,,Complete,Already Approved,2/24/2017,2/24/2017
2728,,,No,,
2729,,,No,,
2730,,Complete,Already Approved,3/1/2011,3/1/2011
2731,,,No,,
2732,,,No,,
2733,,,No,,
2734,,,Yes,,
2735,,,No,,
2739,,Scheduled,Already Approved,8/22/2023,
2740,,,Yes,,
2741,,,No,,
2742,,,No,,
2743,,,Yes,,
2744,,,Yes,,
2745,,,Yes,,
2747,,,No,,
2748,,Complete,Already Approved,5/4/2023,5/4/2023
2749,,,Yes,,
2751,,,No,,
2752,,Complete,Already Approved,6/1/2011,6/1/2011
2753,,,Yes,,
2754,,Pending,Already Approved,,
2755,,,Yes,,
2756,,,No,,
2757,,,No,,
2758,,,Yes,,
2760,,Complete,Already Approved,4/21/2022,4/21/2022
2761,,,No,,
2762,,,No,,
2763,,Complete,Already Approved,8/30/2022,8/30/2022
2764,,,No,,
2765,,Complete,Already Approved,3/31/2022,3/31/2022
2766,,,No,,
2767,,,Yes,,
2768,,,No,,
2769,,,Yes,,
2771,,,No,,
2772,,Complete,Already Approved,3/1/2011,3/1/2011
2773,,,Yes,,
2774,,,No,,
2777,,,No,,
2778,,,No,,
2780,,,No,,
2781,,,No,,
2782,,,Yes,,
2783,,,Yes,,
2784,,,No,,
2785,,,Yes,,
2786,,,No,,
2787,,,No,,
2788,,,No,,
2789,,Complete,Already Approved,6/7/2018,6/7/2018
2790,,,No,,
2791,,,Yes,,
2792,,Pending,Already Approved,,
2793,,,No,,
2794,,,Yes,,
2795,,Scheduled,Already Approved,11/30/2023,
2796,,Scheduled,Already Approved,8/31/2023,
2797,,,No,,
2799,,,No,,
2801,,,No,,
2803,,,Yes,,
2804,,,No,,
2805,,,No,,
2806,,,No,,
2807,,Scheduled,Already Approved,2/23/2024,
2808,,Scheduled,Already Approved,3/1/2024,
2809,,,No,,
2810,,,No,,
2811,,,No,,
2812,,,No,,
2813,,,No,,
2814,,Complete,Already Approved,7/27/2016,7/27/2016
2815,,,No,,
2816,,,No,,
2817,,,No,,
2818,,,No,,
2819,,,No,,
2820,,,No,,
2821,,,Yes,,
2822,,Scheduled,Already Approved,5/7/2024,
2823,,,Yes,,
2825,,,No,,
2826,,,No,,
2827,,Complete,Already Approved,12/1/2012,12/1/2012
2828,,,Yes,,
2830,,,No,,
2831,,,No,,
2832,,,No,,
2833,,,No,,
2834,,,No,,
2835,,,No,,
2836,,,No,,
2838,,,No,,
2839,,,No,,
2840,,,No,,
2841,,,Yes,,
2842,,,No,,
2843,,Complete,Already Approved,3/29/2018,3/29/2018
2844,,,Yes,,
2845,,,No,,
2846,,,No,,
2847,,Pending,Already Approved,,
2849,,,Yes,,
2850,,,Yes,,
2852,,,Yes,,
2853,,,No,,
2854,,,Yes,,
2855,,,No,,
2856,,,Yes,,
2857,,,No,,
2858,,,No,,
2859,,,No,,
2860,,,No,,
2861,,,No,,
2862,,,No,,
2864,,,Yes,,
2865,,,No,,
2866,,,No,,
2867,,,No,,
2869,,,No,,
2870,,,No,,
2871,,,Yes,,
2872,,Scheduled,Already Approved,9/19/2023,
2873,,,No,,
2874,,,Yes,,
2875,,Complete,Already Approved,10/28/2022,10/28/2022
2876,,,No,,
2877,,,Yes,,
2878,,,Yes,,
2880,,,No,,
2881,,Scheduled,Already Approved,1/18/2024,
2882,,,No,,
2883,,Complete,Already Approved,2/18/2022,2/18/2022
2884,,,No,,
2885,,,No,,
2886,,,Yes,,
2887,,,No,,
2888,,,No,,
2889,,,No,,
2890,,,Yes,,
2891,,Complete,Already Approved,2/26/2021,2/26/2021
2892,,,No,,
2893,,,No,,
2894,,,No,,
2897,,,No,,
2898,,,No,,
2899,,,No,,
2900,,,No,,
2901,,,No,,
2902,,,No,,
2903,,,No,,
2904,,,Yes,,
2905,,,No,,
2906,,,No,,
2907,,,No,,
2908,,Complete,Already Approved,5/27/2022,5/27/2022
2909,,,No,,
2910,,,No,,
2911,,,Yes,,
2912,,,Yes,,
2913,,Scheduled,Already Approved,5/23/2024,
2914,,,Yes,,
2915,,,No,,
2916,,,No,,
2917,,,No,,
2918,,,No,,
2919,,,Yes,,
2920,,Complete,Already Approved,5/1/2012,5/1/2012
2921,,,No,,
2922,,,No,,
2923,,,No,,
2924,,,No,,
2925,,,Yes,,
2926,,,No,,
2927,,,No,,
2928,,,No,,
2929,,,No,,
2930,,Complete,Already Approved,6/28/2019,6/28/2019
2931,,,No,,
2932,,,Yes,,
2933,,,Yes,,
2934,,,No,,
2935,,,No,,
2937,,,Yes,,
2938,,,No,,
2939,,,No,,
2940,,,No,,
2941,,,No,,
2944,,Scheduled,Already Approved,3/15/2024,
2945,,Scheduled,Already Approved,9/23/2024,
2946,,Complete,Already Approved,7/13/2018,7/13/2018
2947,,,No,,
2948,,,No,,
2950,,,No,,
2951,,,No,,
2952,,,No,,
2953,,,Yes,,
2954,,,No,,
2955,,,No,,
2956,,,Yes,,
2957,,,No,,
2958,,,No,,
2959,,,No,,
2962,,Complete,Already Approved,7/23/2021,7/23/2021
2963,,Complete,Already Approved,9/19/2018,9/19/2018
2964,,,Yes,,
2965,,,No,,
2966,,,No,,
2967,,,No,,
2968,,,No,,
2973,,,No,,
2974,,,Yes,,
2975,,,No,,
2976,,,Yes,,
2977,,,No,,
2978,,,No,,
2979,,,Yes,,
2980,,Complete,Already Approved,9/15/2021,9/15/2021
2981,,,Yes,,
2984,,,Yes,,
2985,,,Yes,,
2986,,,No,,
2987,,Complete,Already Approved,4/2/2021,4/2/2021
2988,,,Yes,,
2989,,,No,,
2990,,,Yes,,
2991,,Scheduled,Already Approved,9/2/2024,
2992,,,No,,
2993,,Complete,Already Approved,11/24/2021,11/24/2021
2994,,Scheduled,Already Approved,8/31/2023,
2995,,Complete,Already Approved,2/12/2020,2/12/2020
2996,,,No,,
2998,,,No,,
3004,,,Yes,,
3011,,Complete,Already Approved,3/31/2021,3/31/2021
3013,,,Yes,,
3014,,,Yes,,
3015,,,Yes,,
3017,,,No,,
3018,,,No,,
3019,,,No,,
3022,,,No,,
3023,,,No,,
3026,,,No,,
3035,,,No,,
3042,,Pending,Already Approved,,
3043,,,Yes,,
3044,,,No,,
3046,,,No,,
3047,,,No,,
3049,,,Yes,,
3050,,,No,,
3053,,,Yes,,
3055,,,No,,
3056,,,Yes,,
3057,,Scheduled,Already Approved,10/4/2023,
3058,,,No,,
3059,,,No,,
3060,,,Yes,,
3061,,,No,,
3062,,,No,,
3066,,Scheduled,Already Approved,3/29/2024,
3067,,,No,,
3069,,,No,,
3070,,,Yes,,
3071,,,No,,
3072,,,No,,
3074,,,Yes,,
3075,,Scheduled,Already Approved,12/15/2023,
3077,,Scheduled,Already Approved,3/1/2024,
3078,,,No,,
3081,,,Yes,,
3082,,,No,,
3083,,,No,,
3084,,,No,,
3087,,,No,,
3088,,,No,,
3090,,,No,,
3093,,,No,,
3094,,,No,,
3098,,,Yes,,
3099,,,No,,
3101,,,No,,
3102,,,No,,
3103,,,No,,
3104,,Complete,Already Approved,11/20/2020,11/20/2020
3106,,,Yes,,
3107,,,No,,
3110,,,No,,
3111,,,No,,
3112,,,No,,
3114,,,Yes,,
3118,,,No,,
3119,,,No,,
3123,,,No,,
3126,,,No,,
3127,,,Yes,,
3128,,,No,,
3131,,,No,,
3132,,,No,,
3133,,,Yes,,
3135,,,No,,
3136,,,Yes,,
3137,,,Yes,,
3138,,,No,,
3139,,,No,,
3140,,,Yes,,
3141,,,No,,
3143,,,No,,
3144,,,No,,
3145,,,No,,
3146,,,No,,
3147,,,Yes,,
3150,,,No,,
3151,,Pending,Already Approved,,
3152,,,No,,
3153,,,No,,
3154,,,Yes,,
3155,,,Yes,,
3156,,Scheduled,Already Approved,2/2/2024,
3157,,,No,,
3159,,,No,,
3161,,Scheduled,Already Approved,12/15/2023,
3162,,Scheduled,Already Approved,4/23/2024,
3163,,Complete,Already Approved,6/11/2021,6/11/2021
3164,,,No,,
3167,,Complete,Already Approved,7/6/2023,7/6/2023
3168,,,No,,
3169,,,No,,
3170,,,Yes,,
3172,,,Yes,,
3173,,,No,,
3175,,,No,,
3176,,,Yes,,
3177,,,No,,
3178,,,No,,
3179,,,Yes,,
3180,,,No,,
3182,,,Yes,,
3183,,Complete,Already Approved,10/20/2022,10/20/2022
3184,,,No,,
3185,,,No,,
3188,,,Yes,,
3191,,,Yes,,
3192,,,Yes,,
3197,,Complete,Already Approved,9/1/2022,9/1/2022
3198,,,Yes,,
3199,,,No,,
3200,,,No,,
3201,,,No,,
3202,,,No,,
3204,,,Yes,,
3205,,,No,,
3206,,,No,,
3207,,Complete,Already Approved,10/17/2019,10/17/2019
3208,,,No,,
3209,,,No,,
3210,,,No,,
3212,,,No,,
3213,,,Yes,,
3214,,,No,,
3215,,,No,,
3216,,Scheduled,Already Approved,11/30/2023,
3217,,,No,,
3218,,,Yes,,
3219,,Scheduled,Already Approved,2/16/2024,
3220,,,No,,
3221,,,Yes,,
3222,,,No,,
3223,,,No,,
3224,,Complete,Already Approved,2/10/2022,2/10/2022
3225,,Complete,Already Approved,12/22/2020,12/22/2020
3226,,Complete,Already Approved,8/16/2019,8/16/2019
3227,,,No,,
3228,,,No,,
3229,,,No,,
3230,,Complete,Already Approved,8/23/2019,8/23/2019
3231,,,No,,
3232,,,No,,
3233,,,No,,
3234,,,No,,
3235,,Complete,Already Approved,7/16/2018,7/16/2018
3236,,,Yes,,
3237,,,No,,
3238,,,No,,
3239,,,No,,
3241,,,Yes,,
3243,,,No,,
3245,,,No,,
3247,,,No,,
3248,,,Yes,,
3250,,,No,,
3251,,,No,,
3252,,,No,,
3253,,,No,,
3254,,,Yes,,
3255,,,No,,
3258,,,No,,
3259,,,No,,
3260,,,Yes,,
3261,,,No,,
3262,,,No,,
3265,,,No,,
3266,,,No,,
3267,,,Yes,,
3268,,,No,,
3269,,,Yes,,
3270,,,Yes,,
3271,,,No,,
3273,,,No,,
3274,,,No,,
3275,,,Yes,,
3276,,,No,,
3277,,,No,,
3278,,,No,,
3279,,,Yes,,
3280,,,No,,
3281,,,Yes,,
3282,,,Yes,,
3283,,,No,,
3284,,Complete,Already Approved,5/7/2021,5/7/2021
3285,,Complete,Already Approved,10/28/2021,10/28/2021
3286,,,No,,
3287,,,No,,
3288,,,Yes,,
3289,,,No,,
3290,,,No,,
3291,,,No,,
3292,,,No,,
3293,,,Yes,,
3294,,,Yes,,
3295,,,No,,
3296,,Scheduled,Already Approved,2/19/2024,
3297,,Complete,Already Approved,10/13/2020,10/13/2020
3298,,Complete,Already Approved,8/10/2020,8/10/2020
3299,,,No,,
3300,,,No,,
3301,,,No,,
3302,,Complete,Already Approved,3/2/2022,3/2/2022
3303,,,No,,
3304,,,No,,
3305,,,No,,
3307,,Scheduled,Already Approved,4/3/2024,
3308,,Complete,Already Approved,10/1/2014,10/1/2014
3309,,,Yes,,
3310,,Complete,Already Approved,8/17/2017,8/17/2017
3311,,,No,,
3313,,Complete,Already Approved,6/1/2015,6/1/2015
3314,,,No,,
3315,,,No,,
3317,,,No,,
3319,,,No,,
3320,,Complete,Already Approved,9/17/2021,9/17/2021
3322,,,No,,
3324,,,Yes,,
3327,,,Yes,,
3328,,,Yes,,
3329,,,Yes,,
3330,,Scheduled,Already Approved,2/2/2024,
3331,,Complete,Already Approved,6/27/2019,6/27/2019
3332,,,No,,
3334,,,No,,
3336,,,No,,
3337,,,No,,
3338,,,No,,
3339,,,Yes,,
3340,,,Yes,,
3341,,,Yes,,
3342,,,No,,
3344,,,No,,
3347,,Scheduled,Already Approved,3/8/2024,
3348,,Complete,Already Approved,4/6/2018,4/6/2018
3349,,Complete,Already Approved,11/9/2017,11/9/2017
3350,,,No,,
3351,,,No,,
3352,,,Yes,,
3354,,,No,,
3355,,,Yes,,
3356,,,No,,
3357,,,No,,
3359,,,Yes,,
3360,,,No,,
3362,,,No,,
3363,,,No,,
3364,,,No,,
3366,,,Yes,,
3367,,,No,,
3370,,Complete,Already Approved,9/7/2017,9/7/2017
3371,,,Yes,,
3372,,Complete,Already Approved,5/17/2018,5/17/2018
3377,,,Yes,,
3379,,,No,,
3380,,,No,,
3381,,Complete,Already Approved,6/3/2022,6/3/2022
3382,,,No,,
3383,,,No,,
3384,,,No,,
3385,,,No,,
3386,,,Yes,,
3387,,Complete,Already Approved,10/8/2017,10/8/2017
3388,,,Yes,,
3389,,,No,,
3390,,Complete,Already Approved,6/29/2020,6/29/2020
3391,,,Yes,,
3392,,,No,,
3394,,,No,,
3395,,,No,,
3397,,,No,,
3400,,,No,,
3401,,,No,,
3402,,,Yes,,
3403,,,No,,
3404,,,Yes,,
3406,,Complete,Already Approved,1/21/2022,1/21/2022
3407,,,No,,
3408,,,No,,
3409,,,Yes,,
3411,,,No,,
3412,,,No,,
3414,,Complete,Already Approved,6/16/2023,6/16/2023
3415,,,No,,
3417,,Complete,Already Approved,6/5/2018,6/5/2018
3418,,,No,,
3419,,,No,,
3420,,,No,,
3422,,Scheduled,Already Approved,10/10/2024,
3423,,,No,,
3424,,,No,,
3425,,Complete,Already Approved,2/18/2022,2/18/2022
3427,,,No,,
3428,,,Yes,,
3429,,,Yes,,
3430,,,Yes,,
3431,,,Yes,,
3432,,Complete,Already Approved,10/13/2021,10/13/2021
3433,,,No,,
3434,,,Yes,,
3435,,,No,,
3436,,,No,,
3439,,Scheduled,Already Approved,9/29/2023,
3442,,,No,,
3443,,,No,,
3445,,,No,,
3447,,,No,,
3449,,,No,,
3450,,,Yes,,
3452,,Pending,Already Approved,,
3453,,,No,,
3454,,,Yes,,
3455,,,No,,
3456,,,No,,
3457,,,Yes,,
3458,,,Yes,,
3459,,,Yes,,
3460,,,No,,
3461,,,No,,
3462,,,No,,
3463,,Scheduled,Already Approved,8/10/2023,
3464,,,Yes,,
3465,,,No,,
3469,,,Yes,,
3471,,,No,,
3472,,,No,,
3473,,,No,,
3474,,Complete,Already Approved,8/23/2017,8/23/2017
3475,,,No,,
3476,,,No,,
3477,,,No,,
3478,,,No,,
3479,,,No,,
3480,,,Yes,,
3481,,,No,,
3482,,,No,,
3483,,Scheduled,Already Approved,9/13/2023,
3484,,,No,,
3485,,,No,,
3486,,,Yes,,
3487,,,Yes,,
3488,,,Yes,,
3489,,,No,,
3490,,,No,,
3491,,,No,,
3492,,,No,,
3493,,,No,,
3494,,,No,,
3495,,,Yes,,
3497,,,No,,
3498,,,Yes,,
3499,,,No,,
3500,,Complete,Already Approved,11/18/2021,11/18/2021
3501,,,No,,
3502,,,Yes,,
3503,,,No,,
3504,,,No,,
3505,,,No,,
3508,,,Yes,,
3509,,Pending,Already Approved,,
3510,,Complete,Already Approved,10/15/2019,10/15/2019
3511,,,Yes,,
3512,,,No,,
3513,,,Yes,,
3514,,,Yes,,
3515,,,Yes,,
3516,,,No,,
3517,,,No,,
3518,,Complete,Already Approved,1/27/2022,1/27/2022
3520,,,No,,
3521,,,Yes,,
3522,,,No,,
3523,,,Yes,,
3524,,,No,,
3525,,,No,,
3526,,Complete,Already Approved,4/6/2018,4/6/2018
3527,,Complete,Already Approved,6/22/2016,6/22/2016
3528,,,No,,
3529,,,No,,
3530,,,Yes,,
3531,,,Yes,,
3533,,Complete,Already Approved,6/1/2015,6/1/2015
3534,,,No,,
3535,,,No,,
3537,,,Yes,,
3538,,Complete,Already Approved,7/21/2017,7/21/2017
3541,,,Yes,,
3542,,,Yes,,
3543,,,Yes,,
3545,,,Yes,,
3546,,,No,,
3547,,,No,,
3548,,,No,,
3549,,,No,,
3560,,,No,,
3561,,,Yes,,
3562,,,No,,
3563,,,No,,
3564,,,No,,
3566,,Complete,Already Approved,6/1/2012,6/1/2012
3567,,Complete,Already Approved,2/25/2023,2/25/2023
3568,,,No,,
3569,,,Yes,,
3570,,,No,,
3571,,,No,,
3572,,Complete,Already Approved,11/8/2019,11/8/2019
3573,,,No,,
3574,,,No,,
3579,,Scheduled,Already Approved,10/8/2024,
3580,,,No,,
3581,,,No,,
3582,,,No,,
3583,,,No,,
3584,,Complete,Already Approved,12/7/2021,12/7/2021
3585,,Scheduled,Already Approved,10/18/2024,
3587,,,No,,
3588,,Scheduled,Already Approved,2/9/2024,
3589,,Pending,Already Approved,,
3590,,,No,,
3591,,Scheduled,Already Approved,5/24/2024,
3593,,,No,,
3594,,,No,,
3595,,,No,,
3596,,,Yes,,
3597,,,No,,
3598,,,No,,
3599,,Scheduled,Already Approved,12/31/2023,
3600,,,No,,
3601,,,No,,
3602,,,Yes,,
3603,,,No,,
3604,,,No,,
3605,,,No,,
3606,,Scheduled,Already Approved,3/22/2024,
3607,,,Yes,,
3608,,,Yes,,
3609,,,Yes,,
3611,,,No,,
3612,,Complete,Already Approved,9/14/2022,9/14/2022
3614,,,No,,
3615,,,Yes,,
3616,,Scheduled,Already Approved,9/9/2024,
3617,,,No,,
3619,,,No,,
3620,,,No,,
3621,,,No,,
3622,,,Yes,,
3623,,,Yes,,
3624,,,No,,
3625,,Complete,Already Approved,8/20/2018,8/20/2018
3626,,,Yes,,
3627,,,Yes,,
3628,,,No,,
3629,,Scheduled,Already Approved,3/8/2024,
3630,,,Yes,,
3631,,Complete,Already Approved,8/21/2020,8/21/2020
3632,,,Yes,,
3633,,,No,,
3634,,,No,,
3635,,,Yes,,
3637,,,Yes,,
3638,,,No,,
3639,,Scheduled,Already Approved,2/23/2024,
3640,,Scheduled,Already Approved,11/10/2023,
3641,,,Yes,,
3643,,,No,,
3644,,,No,,
3645,,Complete,Already Approved,3/23/2021,3/23/2021
3646,,Complete,Already Approved,6/6/2023,6/6/2023
3648,,,No,,
3650,,,No,,
3652,,,Yes,,
3653,,,Yes,,
3654,,,No,,
3655,,,No,,
3658,,,Yes,,
3659,,,Yes,,
3660,,Scheduled,Already Approved,8/3/2023,
3661,,,No,,
3693,,Complete,Already Approved,1/1/2015,1/1/2015
3700,,Complete,Already Approved,3/9/2023,3/9/2023
3701,,,No,,
3702,,,No,,
3703,,Scheduled,Already Approved,4/16/2024,
3705,,,No,,
3708,,,No,,
3709,,,No,,
3710,,,No,,
3712,,,No,,
3713,,,No,,
3716,,Complete,Already Approved,1/1/2015,1/1/2015
3717,,,Yes,,
3720,,,No,,
3722,,,No,,
3723,,,Yes,,
3724,,,No,,
3725,,,No,,
3726,,,No,,
3727,,,Yes,,
3728,,,No,,
3729,,,Yes,,
3730,,,Yes,,
3731,,,No,,
3732,,,No,,
3733,,,No,,
3734,,,No,,
3736,,,Yes,,
3738,,,No,,
3739,,,No,,
3740,,,No,,
3741,,Complete,Already Approved,9/8/2022,9/8/2022
3742,,,Yes,,
3743,,,Yes,,
3745,,,Yes,,
3746,,,Yes,,
3747,,,No,,
3748,,,Yes,,
3749,,,No,,
3750,,,No,,
3751,,,No,,
3752,,,Yes,,
3754,,,No,,
3757,,,Yes,,
3758,,,No,,
3760,,,No,,
3761,,,No,,
3762,,,No,,
3763,,,No,,
3764,,,No,,
3765,,,No,,
3768,,,No,,
3770,,,No,,
3771,,,No,,
3772,,,Yes,,
3773,,Complete,Already Approved,8/14/2020,8/14/2020
3774,,,No,,
3777,,Complete,Already Approved,8/10/2016,8/10/2016
3778,,,No,,
3780,,,No,,
3781,,,No,,
3782,,Complete,Already Approved,5/17/2018,5/17/2018
3783,,,No,,
3784,,,Yes,,
3785,,Scheduled,Already Approved,9/29/2023,
3786,,Pending,Already Approved,,
3788,,,No,,
3789,,,No,,
3790,,,No,,
3791,,,Yes,,
3792,,,No,,
3794,,,No,,
3795,,,No,,
3796,,,No,,
3799,,,Yes,,
3801,,Pending,Already Approved,,
3802,,,Yes,,
3803,,,No,,
3804,,,No,,
3805,,,Yes,,
3806,,,No,,
3807,,,Yes,,
3809,,,Yes,,
3810,,,No,,
3812,,,No,,
3817,,,No,,
3823,,,No,,
3824,,,Yes,,
3825,,Complete,Already Approved,7/1/2013,7/1/2013
3826,,,Yes,,
3827,,Complete,Already Approved,7/13/2020,7/13/2020
3828,,,No,,
3829,,,No,,
3830,,,Yes,,
3831,,,No,,
3833,,,Yes,,
3835,,,No,,
3837,,,No,,
3838,,,No,,
3840,,,Yes,,
3842,,,Yes,,
3843,,,No,,
3844,,,No,,
3845,,,No,,
3846,,,No,,
3847,,,Yes,,
3848,,,No,,
3850,,,Yes,,
3851,,,No,,
3852,,,No,,
3853,,,Yes,,
3857,,,No,,
3858,,Complete,Already Approved,7/12/2018,7/12/2018
3860,,,Yes,,
3861,,,Yes,,
3862,,Complete,Already Approved,10/24/2019,10/24/2019
3864,,,No,,
3867,,,Yes,,
3868,,,Yes,,
3869,,,No,,
3870,,,Yes,,
3872,,,No,,
3874,,,No,,
3875,,,No,,
3876,,,No,,
3877,,,No,,
3880,,,Yes,,
3883,,,No,,
3884,,,No,,
3885,,,No,,
3886,,Complete,Already Approved,9/3/2021,9/3/2021
3887,,Complete,Already Approved,1/22/2018,1/22/2018
3888,,,Yes,,
3889,,,No,,
3891,,,No,,
3893,,,No,,
3894,,,Yes,,
3896,,,No,,
3897,,,No,,
3899,,,No,,
3912,,,Yes,,
3935,,,No,,
3947,,,No,,
3959,,,Yes,,
3988,,,No,,
3990,,,Yes,,
4046,,,Yes,,
4048,,Scheduled,Already Approved,11/12/2024,
4049,,,No,,
4053,,,Yes,,
4054,,,Yes,,
4055,,Complete,Already Approved,2/17/2023,2/17/2023
4056,,,Yes,,
4057,,,Yes,,
4063,,Complete,Already Approved,3/3/2020,3/3/2020
4064,,Scheduled,Already Approved,11/30/2023,
4065,,,Yes,,
4068,,,No,,
4100,,,Yes,,
4101,,,No,,
4102,,,No,,
4103,,,Yes,,
4104,,,Yes,,
4105,,,No,,
4108,,,No,,
4111,,Scheduled,Already Approved,8/14/2023,
4112,,Complete,Already Approved,12/22/2022,12/22/2022
4114,,,Yes,,
4115,,,Yes,,
4118,,,No,,
4127,,,Yes,,
4128,,Complete,Already Approved,7/29/2019,7/29/2019
4129,,Complete,Already Approved,6/7/2023,6/7/2023
4130,,,No,,
4131,,,Yes,,
4132,,,No,,
4134,,,No,,
4137,,,No,,
4138,,,No,,
4139,,,Yes,,
4140,,Complete,Already Approved,5/25/2020,5/25/2020
4141,,,No,,
4142,,Scheduled,Already Approved,4/25/2024,
4144,,,No,,
4145,,,No,,
4147,,,No,,
4148,,,No,,
4153,,,Yes,,
4156,,,No,,
4157,,,No,,
4159,,,Yes,,
4160,,,No,,
4161,,Complete,Already Approved,8/16/2021,8/16/2021
4162,,,Yes,,
4163,,,Yes,,
4164,,,Yes,,
4165,,,No,,
4166,,,Yes,,
4168,,Complete,Already Approved,7/26/2019,7/26/2019
4169,,,No,,
4171,,,No,,
4174,,,No,,
4176,,,No,,
4178,,,No,,
4180,,,No,,
4182,,,Yes,,
4183,,,Yes,,
4184,,,No,,
4185,,,No,,
4187,,,Yes,,
4188,,,Yes,,
4189,,,Yes,,
4191,,,No,,
4193,,,Yes,,
4194,,Complete,Already Approved,12/15/2021,12/15/2021
4195,,Scheduled,Already Approved,8/31/2023,
4196,,,No,,
4197,,,Yes,,
4198,,,No,,
4200,,,No,,
4201,,Pending,Already Approved,,
4202,,,No,,
4203,,,No,,
4206,,,No,,
4208,,,Yes,,
4209,,,No,,
4210,,,Yes,,
4211,,Scheduled,Already Approved,3/29/2024,
4215,,,Yes,,
4216,,,Yes,,
4218,,,No,,
