Location Number,ORG_NAME,MEMBER PHONE
2729,Food Bank for Larimer County,970-493-4477
2730,Inter-Faith Food Shuttle,919-250-0043
2730,Food Bank of Central & Eastern North Carolina,919-875-0707
2731,Atlanta Community Food Bank,404-892-9822
2732,Atlanta Community Food Bank,404-892-9822
2733,Middle Georgia Community Food Bank,478-742-3958
2734,Regional Food Bank of Oklahoma,405-972-1111
2735,Food Bank of Contra Costa and Solano,925-676-7543
2739,Feeding the Gulf Coast,251-653-1617
2740,Feeding Tampa Bay,813-254-1190
2741,Northwest Arkansas Food Bank,479-872-8774
2742,Northwest Arkansas Food Bank,479-872-8774
2743,Arkansas Foodbank,501-569-4301
2744,River Valley Regional Food Bank,479-785-0582
2745,Northwest Arkansas Food Bank,479-872-8774
2747,Rhode Island Community Food Bank,401-942-6325
2748,Feeding the Gulf Coast,251-653-1617
2749,MANNA FoodBank,828-299-3663
2751,Food Bank of the Rockies,303-371-9250
2752,Food Bank of the Rockies,303-371-9250
2753,Food Bank of Northeast Georgia,706-354-8191
2754,Golden Harvest Food Bank,706-736-1199
2755,Mississippi Food Network,601-973-7080
2756,Maryland Food Bank,410-737-8282
2757,Second Harvest Food Bank of Middle Tennessee,615-329-3491
2758,New Hampshire Food Bank,603-669-9725
2760,Feeding the Gulf Coast,251-653-1617
2761,Feeding America Southwest Virginia,540-342-3011
2762,Feeding America Southwest Virginia,540-342-3011
2763,Food Bank of the Rio Grande Valley,956-682-8101
2764,Food Bank of Iowa,515-564-0330
2765,Food Bank of the Rio Grande Valley,956-682-8101
2766,St. Mary's Food Bank,602-242-3663
2767,United Food Bank,480-926-4897
2768,United Food Bank,480-926-4897
2769,San Antonio Food Bank,210-337-3663
2771,Food Finders Food Bank,765-471-0062
2772,Food Bank of Central & Eastern North Carolina,919-875-0707
2773,Feeding the Valley Food Bank,706-561-4755
2774,Mid-Ohio FoodBank,614-274-7770
2777,St. Mary's Food Bank,602-242-3663
2778,United Food Bank,480-926-4897
2780,The Idaho Foodbank,208-336-9643
2781,The Idaho Foodbank,208-336-9643
2782,The Idaho Foodbank,208-336-9643
2783,"God's Pantry Food Bank, Inc.",859-255-6592
2784,Food Bank of Lincoln,402-466-8170
2785,"Foodlink, Inc.",585-328-3380
2786,"Gleaners Food Bank of Indiana, Inc.",3179273190
2787,"Gleaners Food Bank of Indiana, Inc.",3179273190
2788,"Gleaners Food Bank of Indiana, Inc.",3179273190
2789,Feeding South Florida,954-518-1818
2790,Maryland Food Bank,410-737-8282
2791,Food Bank of Delaware,302-292-1305
2792,Facing Hunger Foodbank,304-523-6029
2793,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
2794,Utah Food Bank,801-908-8660
2795,Feed More,804-521-2500
2796,Feeding Tampa Bay,813-254-1190
2797,Worcester County Food Bank,508-842-3663
2799,Capital Area Food Bank,202-526-5344
2800,Feeding Tampa Bay,813-254-1190
2801,Feeding the Valley Food Bank,706-561-4755
2803,Regional Food Bank of Oklahoma,405-972-1111
2804,Regional Food Bank of Oklahoma,405-972-1111
2805,Feed More,804-521-2500
2806,Second Harvest Food Bank of Metrolina,704-376-1785
2807,Blue Ridge Area Food Bank,540-248-3663
2808,Feed More,804-521-2500
2809,Mountaineer Food Bank,304-364-5518
2810,Mountaineer Food Bank,304-364-5518
2811,Food Bank of Northeast Georgia,706-354-8191
2812,Channel One Regional Food Bank,507-424-1700
2813,Feeding America Eastern Wisconsin,414-931-7400
2814,Feeding South Florida,954-518-1818
2815,Greater Chicago Food Depository,773-247-3663
2816,Greater Chicago Food Depository,773-247-3663
2817,Greater Chicago Food Depository,773-247-3663
2818,Food Bank of Northwest Indiana,219-980-1777
2819,"Community Harvest Food Bank of Northeast Indiana, Inc.",260-447-3696
2820,Second Harvest Heartland,651-484-5117
2821,Feed More,804-521-2500
2822,Greater Baton Rouge Food Bank,225-359-9940
2823,Mountaineer Food Bank,304-364-5518
2825,Community Foodbank of New Jersey,908-355-3663
2826,FIND Food Bank,760-775-3663
2827,HACAP Food Reservoir,319-393-7811
2828,Feeding America Eastern Wisconsin,414-931-7400
2830,Philabundance,215-339-0900
2831,The Idaho Foodbank,208-336-9643
2832,Lowcountry Food Bank,843-747-8146
2833,Mountaineer Food Bank,304-364-5518
2834,Tarrant Area Food Bank,817-857-7100
2835,San Antonio Food Bank,210-337-3663
2836,Inter-Faith Food Shuttle,919-250-0043
2836,Food Bank of Central & Eastern North Carolina,919-875-0707
2838,Three Square Food Bank,702-644-3663
2839,Ozarks Food Harvest,417-865-3411
2840,"America's Second Harvest of Coastal Georgia, Inc.",912-236-6750
2841,Food Bank of South Jersey,856-662-4884
2841,Philabundance,215-339-0900
2842,Feeding America Riverside |San Bernardino Counties,951-359-4757
2843,Second Harvest Food Bank of Central Florida,407-295-1066
2844,Regional Food Bank of Northeastern New York,518-786-3691
2845,Inter-Faith Food Shuttle,919-250-0043
2845,Food Bank of Central & Eastern North Carolina,919-875-0707
2846,Mid-South Food Bank,901-527-0841
2847,Food Bank for the Heartland,402-331-1213
2849,Facing Hunger Foodbank,304-523-6029
2850,Maryland Food Bank,410-737-8282
2852,Mountaineer Food Bank,304-364-5518
2853,Maryland Food Bank,410-737-8282
2854,Connecticut Foodshare,203-469-5000
2855,Harvesters - The Community Food Network,816-929-3000
2856,Harvesters - The Community Food Network,816-929-3000
2857,Harvesters - The Community Food Network,816-929-3000
2858,"America's Second Harvest of Coastal Georgia, Inc.",912-236-6750
2859,"Foodlink, Inc.",585-328-3380
2860,"America's Second Harvest of Coastal Georgia, Inc.",912-236-6750
2861,The Idaho Foodbank,208-336-9643
2862,The Idaho Foodbank,208-336-9643
2864,San Antonio Food Bank,210-337-3663
2865,Second Harvest Inland Northwest,509-534-6678
2866,Greater Lansing Food Bank,517-853-7800
2867,Greater Lansing Food Bank,517-853-7800
2869,Greater Lansing Food Bank,517-853-7800
2870,Lowcountry Food Bank,843-747-8146
2871,Food Bank of South Jersey,856-662-4884
2871,Philabundance,215-339-0900
2872,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
2872,Forgotten Harvest,248-967-1500
2873,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
2873,Forgotten Harvest,248-967-1500
2874,Regional Food Bank of Northeastern New York,518-786-3691
2875,Regional Food Bank of Oklahoma,405-972-1111
2876,Regional Food Bank of Oklahoma,405-972-1111
2877,Regional Food Bank of Oklahoma,405-972-1111
2878,Regional Food Bank of Oklahoma,405-972-1111
2880,Community Food Bank of Eastern Oklahoma,918-585-2800
2881,Second Harvest Food Bank of Central Florida,407-295-1066
2882,Second Harvest Heartland,651-484-5117
2883,North Texas Food Bank,214-330-1396
2884,Three Square Food Bank,702-644-3663
2885,Rhode Island Community Food Bank,401-942-6325
2886,Los Angeles Regional Food Bank,323-234-3030
2887,Lowcountry Food Bank,843-747-8146
2888,Central Pennsylvania Food Bank,717-564-1700
2889,River Bend Food Bank,563-345-6490
2890,Middle Georgia Community Food Bank,478-742-3958
2891,West Texas Food Bank,432-580-6333
2892,Food Bank of the Rockies,303-371-9250
2893,Kansas Food Bank,316-265-3663
2894,Maryland Food Bank,410-737-8282
2897,Connecticut Foodshare,203-469-5000
2898,Connecticut Foodshare,203-469-5000
2899,Connecticut Foodshare,203-469-5000
2900,Connecticut Foodshare,203-469-5000
2901,The Food Bank of Western Massachusetts,413-247-9738
2902,The Greater Boston Food Bank,617-427-5200
2903,The Greater Boston Food Bank,617-427-5200
2904,The Greater Boston Food Bank,617-427-5200
2905,Regional Food Bank of Northeastern New York,518-786-3691
2906,"Long Island Cares, Inc.",631-582-3663
2906,Island Harvest,516-294-8528
2907,Feeding South Florida,954-518-1818
2908,Second Harvest Food Bank of Metrolina,704-376-1785
2909,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
2910,Second Harvest Food Bank of the Mahoning Valley,330-792-5522
2911,Food Bank of Central New York,315-437-1899
2912,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
2912,Forgotten Harvest,248-967-1500
2913,Second Harvest Food Bank of Greater New Orleans and Acadiana,504-734-1322
2914,Akron-Canton Regional Foodbank,330-535-6900
2915,"Long Island Cares, Inc.",631-582-3663
2915,Island Harvest,516-294-8528
2916,"Long Island Cares, Inc.",631-582-3663
2916,Island Harvest,516-294-8528
2917,"Long Island Cares, Inc.",631-582-3663
2917,Island Harvest,516-294-8528
2918,North Texas Food Bank,214-330-1396
2919,Food Bank of Northeast Louisiana,318-322-3567
2920,Feeding Northeast Florida,904-513-1333
2921,Utah Food Bank,801-908-8660
2922,Community Food Bank of Southern Arizona,520-622-0525
2923,Montana Food Bank Network,406-721-3825
2924,Roadrunner Food Bank,505-247-2052
2925,Food Bank of Contra Costa and Solano,925-676-7543
2926,North Texas Food Bank,214-330-1396
2927,Oregon Food Bank,503-282-0555
2928,Lowcountry Food Bank,843-747-8146
2929,Second Harvest Food Bank of Southeast North Carolina,910-485-8809
2930,Feeding South Florida,954-518-1818
2931,Maryland Food Bank,410-737-8282
2932,Second Harvest Food Bank of East Tennessee,865-521-0000
2933,Mountaineer Food Bank,304-364-5518
2934,Eastern Illinois Foodbank,217-328-3663
2935,Food Bank of Iowa,515-564-0330
2937,Second Harvest Northland,218-727-5653
2938,Second Harvest Food Bank of Greater New Orleans and Acadiana,504-734-1322
2939,Mississippi Food Network,601-973-7080
2940,Food Bank of Northeast Louisiana,318-322-3567
2941,Atlanta Community Food Bank,404-892-9822
2944,Second Harvest Food Bank of Central Florida,407-295-1066
2945,Philabundance,215-339-0900
2946,Feeding South Florida,954-518-1818
2947,Oregon Food Bank,503-282-0555
2948,Los Angeles Regional Food Bank,323-234-3030
2950,Los Angeles Regional Food Bank,323-234-3030
2951,Los Angeles Regional Food Bank,323-234-3030
2952,Feeding America Riverside |San Bernardino Counties,951-359-4757
2953,The Greater Boston Food Bank,617-427-5200
2954,Connecticut Foodshare,203-469-5000
2955,Harvesters - The Community Food Network,816-929-3000
2956,Northern Illinois Food Bank,630-443-6910
2957,"North Country Food Bank, Inc.",218-399-7356
2958,Feeding America Eastern Wisconsin,414-931-7400
2959,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
2959,Forgotten Harvest,248-967-1500
2962,Feeding South Florida,954-518-1818
2963,Feeding South Florida,954-518-1818
2964,Worcester County Food Bank,508-842-3663
2965,Connecticut Foodshare,203-469-5000
2966,Akron-Canton Regional Foodbank,330-535-6900
2967,Freestore Foodbank,513-482-4500
2968,Dare to Care Food Bank,502-966-3821
2973,North Texas Food Bank,214-330-1396
2974,North Texas Food Bank,214-330-1396
2975,North Texas Food Bank,214-330-1396
2976,North Texas Food Bank,214-330-1396
2977,Tarrant Area Food Bank,817-857-7100
2978,Tarrant Area Food Bank,817-857-7100
2979,Tarrant Area Food Bank,817-857-7100
2980,Tarrant Area Food Bank,817-857-7100
2981,Tarrant Area Food Bank,817-857-7100
2983,Feeding the Gulf Coast,251-653-1617
2984,Regional Food Bank of Oklahoma,405-972-1111
2985,Central California Food Bank,559-237-2527
2986,Feeding America Eastern Wisconsin,414-931-7400
2987,Feeding South Florida,954-518-1818
2988,Chattanooga Area Food Bank,423-622-1800
2989,Alameda County Community Food Bank,510-635-3663
2990,Feeding South Dakota,605-335-0364
2991,Central Texas Food Bank,512-282-2111
2992,Food Bank of the Southern Tier,607-796-6061
2993,Houston Food Bank,713-223-3700
2994,Second Harvest Community Food Bank,816-364-3663
2995,North Texas Food Bank,214-330-1396
2996,North Texas Food Bank,214-330-1396
2996,Tarrant Area Food Bank,817-857-7100
2998,Feeding America Riverside |San Bernardino Counties,951-359-4757
3004,Greater Chicago Food Depository,773-247-3663
3011,Feeding South Florida,954-518-1818
3013,Feeding Tampa Bay,813-254-1190
3014,North Texas Food Bank,214-330-1396
3015,North Texas Food Bank,214-330-1396
3017,Second Harvest Food Bank of Middle Tennessee,615-329-3491
3018,Care and Share Food Bank,719-528-1247
3019,Food Bank of the Rockies,303-371-9250
3022,Second Harvest of the Greater Valley,209-239-2091
3023,Second Harvest of Silicon Valley,408-266-8866
3026,FIND Food Bank,760-775-3663
3035,Capital Area Food Bank,202-526-5344
3042,Second Harvest Food Bank of Greater New Orleans and Acadiana,504-734-1322
3043,Tarrant Area Food Bank,817-857-7100
3044,Tarrant Area Food Bank,817-857-7100
3046,Second Harvest of the Greater Valley,209-239-2091
3047,Second Harvest of the Greater Valley,209-239-2091
3049,Community Food Bank of Southern Arizona,520-622-0525
3050,Oregon Food Bank,503-282-0555
3053,Food Lifeline,206-545-6600
3055,Community Food Bank of Eastern Oklahoma,918-585-2800
3056,San Antonio Food Bank,210-337-3663
3057,San Antonio Food Bank,210-337-3663
3058,San Antonio Food Bank,210-337-3663
3059,Mississippi Food Network,601-973-7080
3060,Mississippi Food Network,601-973-7080
3061,St. Louis Area Foodbank,314-292-6262
3062,Ozarks Food Harvest,417-865-3411
3066,All Faiths Food Bank,941-379-6333
3067,Atlanta Community Food Bank,404-892-9822
3069,Atlanta Community Food Bank,404-892-9822
3070,Atlanta Community Food Bank,404-892-9822
3071,Atlanta Community Food Bank,404-892-9822
3072,Atlanta Community Food Bank,404-892-9822
3074,Atlanta Community Food Bank,404-892-9822
3075,Feeding the Gulf Coast,251-653-1617
3077,Capital Area Food Bank,202-526-5344
3078,Community Foodbank of New Jersey,908-355-3663
3081,Food Bank of Contra Costa and Solano,925-676-7543
3082,Care and Share Food Bank,719-528-1247
3083,Care and Share Food Bank,719-528-1247
3084,Feeding San Diego,858-452-3663
3087,"Food Share, Inc.",805-983-7100
3088,Second Harvest Heartland,651-484-5117
3090,Placer Food Bank,916-783-0481
3093,The Idaho Foodbank,208-336-9643
3094,The Idaho Foodbank,208-336-9643
3098,Food Lifeline,206-545-6600
3099,Second Harvest Food Bank of Orange County,949-653-2900
3101,Second Harvest Food Bank of Orange County,949-653-2900
3102,Second Harvest Northland,218-727-5653
3103,Kansas Food Bank,316-265-3663
3104,Feeding South Florida,954-518-1818
3106,San Antonio Food Bank,210-337-3663
3107,San Antonio Food Bank,210-337-3663
3110,Greater Chicago Food Depository,773-247-3663
3111,Ozarks Food Harvest,417-865-3411
3112,San Antonio Food Bank,210-337-3663
3114,The Greater Boston Food Bank,617-427-5200
3118,Atlanta Community Food Bank,404-892-9822
3119,Feeding the Gulf Coast,251-653-1617
3123,Second Harvest of Silicon Valley,408-266-8866
3126,Food Bank of the Rockies,303-371-9250
3127,Food Bank of the Rockies,303-371-9250
3128,Food Bank of the Rockies,303-371-9250
3129,Feeding America Riverside |San Bernardino Counties,951-359-4757
3131,Feeding America Riverside |San Bernardino Counties,951-359-4757
3132,Los Angeles Regional Food Bank,323-234-3030
3133,Los Angeles Regional Food Bank,323-234-3030
3135,Tarrant Area Food Bank,817-857-7100
3136,El Pasoans Fighting Hunger,915 298-0353
3137,Second Harvest Food Bank of Middle Tennessee,615-329-3491
3138,Central California Food Bank,559-237-2527
3139,Central California Food Bank,559-237-2527
3140,Central California Food Bank,559-237-2527
3141,Central California Food Bank,559-237-2527
3143,Community Food Bank of Southern Arizona,520-622-0525
3144,Oregon Food Bank,503-282-0555
3145,Oregon Food Bank,503-282-0555
3146,Oregon Food Bank,503-282-0555
3147,"Food Share, Inc.",805-983-7100
3150,Food Bank for the Heartland,402-331-1213
3151,Food Bank for the Heartland,402-331-1213
3152,Food Bank for the Heartland,402-331-1213
3153,Food Bank for the Heartland,402-331-1213
3154,Food Bank for the Heartland,402-331-1213
3155,Kansas Food Bank,316-265-3663
3156,Virginia Peninsula Foodbank,757-596-7188
3157,Virginia Peninsula Foodbank,757-596-7188
3159,Community Foodbank of New Jersey,908-355-3663
3161,Feeding Tampa Bay,813-254-1190
3162,Second Harvest Food Bank of Central Florida,407-295-1066
3163,Feeding South Florida,954-518-1818
3164,Northwest Arkansas Food Bank,479-872-8774
3167,Second Harvest Food Bank of Greater New Orleans and Acadiana,504-734-1322
3168,Arkansas Foodbank,501-569-4301
3169,Central Texas Food Bank,512-282-2111
3170,Central Texas Food Bank,512-282-2111
3172,Food Bank for the Heartland,402-331-1213
3173,Food Bank for the Heartland,402-331-1213
3175,Care and Share Food Bank,719-528-1247
3176,Care and Share Food Bank,719-528-1247
3177,Food Bank for Larimer County,970-493-4477
3178,Oregon Food Bank,503-282-0555
3179,"Food Share, Inc.",805-983-7100
3180,Los Angeles Regional Food Bank,323-234-3030
3182,Inter-Faith Food Shuttle,919-250-0043
3182,Food Bank of Central & Eastern North Carolina,919-875-0707
3183,Feeding South Florida,954-518-1818
3184,Community Food Bank of Central Alabama,205-942-8911
3185,Food Bank of North Alabama,256-539-2256
3188,Atlanta Community Food Bank,404-892-9822
3191,Second Harvest Food Bank of Metrolina,704-376-1785
3192,Harvest Hope Food Bank,803-254-4432
3197,Feeding Tampa Bay,813-254-1190
3198,North Texas Food Bank,214-330-1396
3198,Tarrant Area Food Bank,817-857-7100
3199,North Texas Food Bank,214-330-1396
3200,The Greater Boston Food Bank,617-427-5200
3201,Atlanta Community Food Bank,404-892-9822
3202,Regional Food Bank of Oklahoma,405-972-1111
3204,North Texas Food Bank,214-330-1396
3205,Atlanta Community Food Bank,404-892-9822
3206,West Ohio Food Bank,419-222-7946
3207,Second Harvest Food Bank of Central Florida,407-295-1066
3208,Utah Food Bank,801-908-8660
3209,Second Harvest Heartland,651-484-5117
3210,Central Illinois Foodbank,217-522-4022
3212,Community Foodbank of New Jersey,908-355-3663
3213,Houston Food Bank,713-223-3700
3214,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
3215,Mountaineer Food Bank,304-364-5518
3216,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
3217,Second Harvest Inland Northwest,509-534-6678
3218,Food Lifeline,206-545-6600
3219,Virginia Peninsula Foodbank,757-596-7188
3220,Utah Food Bank,801-908-8660
3221,Food Bank of the Southern Tier,607-796-6061
3222,Second Harvest Food Bank of Metrolina,704-376-1785
3223,Greater Pittsburgh Community Food Bank,412-460-3663
3224,North Texas Food Bank,214-330-1396
3225,North Texas Food Bank,214-330-1396
3226,Houston Food Bank,713-223-3700
3227,Care and Share Food Bank,719-528-1247
3228,Westmoreland Food Bank,724-468-8660
3229,Wichita Falls Area Food Bank,940-766-2322
3230,Arkansas Foodbank,501-569-4301
3231,River Valley Regional Food Bank,479-785-0582
3232,Utah Food Bank,801-908-8660
3233,"North Country Food Bank, Inc.",218-399-7356
3234,Second Harvest Food Bank of Northeast Tennessee,423-279-0430
3235,Feeding South Florida,954-518-1818
3236,Fulfill,732-918-2600
3237,Feeding South Dakota,605-335-0364
3238,Ozarks Food Harvest,417-865-3411
3239,Oregon Food Bank,503-282-0555
3241,St. Mary's Food Bank,602-242-3663
3243,Feeding America Southwest Virginia,540-342-3011
3245,Second Harvest Heartland,651-484-5117
3247,Feeding America Eastern Wisconsin,414-931-7400
3248,Second Harvest Food Bank of Orange County,949-653-2900
3250,Akron-Canton Regional Foodbank,330-535-6900
3251,Mid-Ohio FoodBank,614-274-7770
3252,Philabundance,215-339-0900
3253,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
3254,Food Bank of Northern Nevada,775-331-3663
3255,Eastern Illinois Foodbank,217-328-3663
3258,Oregon Food Bank,503-282-0555
3259,Montana Food Bank Network,406-721-3825
3260,Second Harvest Inland Northwest,509-534-6678
3261,Second Harvest Inland Northwest,509-534-6678
3262,Mid-Ohio FoodBank,614-274-7770
3265,Virginia Peninsula Foodbank,757-596-7188
3266,Community Foodbank of New Jersey,908-355-3663
3267,Food Bank for the Heartland,402-331-1213
3268,Feeding America Eastern Wisconsin,414-931-7400
3269,Good Shepherd Food Bank,(207) 782-3554
3270,Feeding America Southwest Virginia,540-342-3011
3271,Community Food Bank of Central Alabama,205-942-8911
3273,Harvesters - The Community Food Network,816-929-3000
3274,Tarrant Area Food Bank,817-857-7100
3275,Regional Food Bank of Oklahoma,405-972-1111
3276,Feeding America Riverside |San Bernardino Counties,951-359-4757
3277,Food Bank of Northern Nevada,775-331-3663
3278,Food Bank of Lincoln,402-466-8170
3279,San Antonio Food Bank,210-337-3663
3280,"Foodlink, Inc.",585-328-3380
3281,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
3282,Southeastern Ohio Foodbank,740-385-6813
3283,Kansas Food Bank,316-265-3663
3284,Tarrant Area Food Bank,817-857-7100
3285,North Texas Food Bank,214-330-1396
3286,North Texas Food Bank,214-330-1396
3286,Tarrant Area Food Bank,817-857-7100
3287,North Texas Food Bank,214-330-1396
3287,Tarrant Area Food Bank,817-857-7100
3288,Greater Baton Rouge Food Bank,225-359-9940
3289,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
3290,"Hawaii Foodbank, Inc.",808-836-3600
3291,Community Foodbank of New Jersey,908-355-3663
3292,Community Foodbank of New Jersey,908-355-3663
3293,"Greater Cleveland Foodbank, Inc.",216-738-2265
3294,Dare to Care Food Bank,502-966-3821
3295,Community Food Bank of Eastern Oklahoma,918-585-2800
3296,Houston Food Bank,713-223-3700
3297,Houston Food Bank,713-223-3700
3298,Houston Food Bank,713-223-3700
3299,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
3300,West Ohio Food Bank,419-222-7946
3301,Rhode Island Community Food Bank,401-942-6325
3302,Houston Food Bank,713-223-3700
3303,Feeding America Southwest Virginia,540-342-3011
3304,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
3305,Second Harvest Food Bank of Northwest North Carolina,336-784-5770
3307,"Second Harvest of the Big Bend, Inc.",850-562-3033
3308,Feeding Northeast Florida,904-513-1333
3309,Feeding Northeast Florida,904-513-1333
3310,Second Harvest Food Bank of Central Florida,407-295-1066
3311,Feeding South Florida,954-518-1818
3313,Food Bank of the Rockies,303-371-9250
3314,St. Mary's Food Bank,602-242-3663
3315,St. Mary's Food Bank,602-242-3663
3317,Roadrunner Food Bank,505-247-2052
3319,Central Texas Food Bank,512-282-2111
3320,Food Bank of the Rio Grande Valley,956-682-8101
3322,Feeding America Eastern Wisconsin,414-931-7400
3324,Feeding America Eastern Wisconsin,414-931-7400
3327,Regional Food Bank of Oklahoma,405-972-1111
3328,Feeding America West Michigan,616-784-3250
3329,Food Bank of Central New York,315-437-1899
3330,Foodbank of Southeastern Virginia and the Eastern Shore,757-627-6599
3331,Arkansas Foodbank,501-569-4301
3332,Food Bank of Central New York,315-437-1899
3334,Regional Food Bank of Northeastern New York,518-786-3691
3336,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
3336,Forgotten Harvest,248-967-1500
3337,Community Foodbank of New Jersey,908-355-3663
3338,Second Harvest Food Bank of Metrolina,704-376-1785
3339,Community Foodbank of New Jersey,908-355-3663
3340,Community Food Bank of Eastern Oklahoma,918-585-2800
3341,North Texas Food Bank,214-330-1396
3342,Freestore Foodbank,513-482-4500
3344,Blue Ridge Area Food Bank,540-248-3663
3347,Feeding Tampa Bay,813-254-1190
3348,Feeding South Florida,954-518-1818
3349,Harry Chapin Food Bank of Southwest Florida,239-334-7007
3350,Three Square Food Bank,702-644-3663
3351,Three Square Food Bank,702-644-3663
3352,Second Harvest of the Greater Valley,209-239-2091
3354,Three Square Food Bank,702-644-3663
3355,Three Square Food Bank,702-644-3663
3356,Three Square Food Bank,702-644-3663
3357,Community Food Bank of Southern Arizona,520-622-0525
3359,Second Harvest Food Bank of Metrolina,704-376-1785
3360,United Food Bank,480-926-4897
3362,"Feeding America, Kentucky's Heartland",270-769-6997
3363,"Tri-State Food Bank, Inc.",812-425-0775
3364,Second Harvest Heartland,651-484-5117
3366,Utah Food Bank,801-908-8660
3367,Lowcountry Food Bank,843-747-8146
3370,Feeding Tampa Bay,813-254-1190
3371,Second Harvest Food Bank of Metrolina,704-376-1785
3372,Feeding Tampa Bay,813-254-1190
3377,Community Food Bank of Southern Arizona,520-622-0525
3379,Community Food Bank of Southern Arizona,520-622-0525
3380,Second Harvest Inland Northwest,509-534-6678
3381,Food Bank of West Central Texas,325-695-6311
3382,Care and Share Food Bank,719-528-1247
3383,High Plains Food Bank,806-374-8562
3384,High Plains Food Bank,806-374-8562
3385,Roadrunner Food Bank,505-247-2052
3386,Community Food Bank of Central Alabama,205-942-8911
3387,All Faiths Food Bank,941-379-6333
3388,Atlanta Community Food Bank,404-892-9822
3389,Atlanta Community Food Bank,404-892-9822
3390,Houston Food Bank,713-223-3700
3391,San Antonio Food Bank,210-337-3663
3392,Tarrant Area Food Bank,817-857-7100
3394,Food Bank for the Heartland,402-331-1213
3395,Food Bank for the Heartland,402-331-1213
3397,Feeding South Florida,954-518-1818
3400,Northern Illinois Food Bank,630-443-6910
3401,Atlanta Community Food Bank,404-892-9822
3402,Atlanta Community Food Bank,404-892-9822
3403,Atlanta Community Food Bank,404-892-9822
3404,Second Harvest Heartland,651-484-5117
3406,North Texas Food Bank,214-330-1396
3407,St. Mary's Food Bank,602-242-3663
3408,Food Bank of Northern Nevada,775-331-3663
3409,Worcester County Food Bank,508-842-3663
3411,Second Harvest Food Bank of Southeast North Carolina,910-485-8809
3412,Central Pennsylvania Food Bank,717-564-1700
3414,Feeding Tampa Bay,813-254-1190
3415,Feeding Tampa Bay,813-254-1190
3417,Harry Chapin Food Bank of Southwest Florida,239-334-7007
3418,Feeding Tampa Bay,813-254-1190
3419,Tarrant Area Food Bank,817-857-7100
3420,"Long Island Cares, Inc.",631-582-3663
3420,Island Harvest,516-294-8528
3422,Food Bank of South Jersey,856-662-4884
3422,Philabundance,215-339-0900
3423,Roadrunner Food Bank,505-247-2052
3424,Community Food Bank of Central Alabama,205-942-8911
3425,Houston Food Bank,713-223-3700
3427,Roadrunner Food Bank,505-247-2052
3428,Roadrunner Food Bank,505-247-2052
3429,Second Harvest Food Bank of Northwest Pennsylvania,814-459-3663
3430,Regional Food Bank of Oklahoma,405-972-1111
3431,Tarrant Area Food Bank,817-857-7100
3432,North Texas Food Bank,214-330-1396
3433,North Texas Food Bank,214-330-1396
3434,Northern Illinois Food Bank,630-443-6910
3435,"Gleaners Food Bank of Indiana, Inc.",3179273190
3436,Food Bank of Northern Indiana,574-232-9986
3439,Feeding the Gulf Coast,251-653-1617
3442,Lowcountry Food Bank,843-747-8146
3443,Community Foodbank of New Jersey,908-355-3663
3445,Toledo Northwestern Ohio Food Bank,419-242-5000
3447,Mid-Ohio FoodBank,614-274-7770
3449,Central Texas Food Bank,512-282-2111
3450,Central Texas Food Bank,512-282-2111
3452,Houston Food Bank,713-223-3700
3453,Feeding America West Michigan,616-784-3250
3454,Utah Food Bank,801-908-8660
3455,Food Bank of Contra Costa and Solano,925-676-7543
3456,Second Harvest Food Bank of Southeast North Carolina,910-485-8809
3457,Community Food Bank of Eastern Oklahoma,918-585-2800
3458,Feeding America West Michigan,616-784-3250
3459,Eastern Illinois Foodbank,217-328-3663
3460,Eastern Illinois Foodbank,217-328-3663
3461,Atlanta Community Food Bank,404-892-9822
3462,Atlanta Community Food Bank,404-892-9822
3463,Feeding Tampa Bay,813-254-1190
3464,Feeding America Riverside |San Bernardino Counties,951-359-4757
3465,St. Mary's Food Bank,602-242-3663
3469,Community Foodbank of New Jersey,908-355-3663
3471,Atlanta Community Food Bank,404-892-9822
3472,Second Harvest Inland Northwest,509-534-6678
3473,Three Square Food Bank,702-644-3663
3474,Feeding Tampa Bay,813-254-1190
3475,Philabundance,215-339-0900
3476,Gleaners Community Food Bank of Southeastern Michigan,313-923-3535
3476,Forgotten Harvest,248-967-1500
3477,Los Angeles Regional Food Bank,323-234-3030
3478,"Hawaii Foodbank, Inc.",808-836-3600
3479,Northwest Arkansas Food Bank,479-872-8774
3480,Feeding America Southwest Virginia,540-342-3011
3481,Maryland Food Bank,410-737-8282
3482,North Texas Food Bank,214-330-1396
3483,Second Harvest Food Bank of Greater New Orleans and Acadiana,504-734-1322
