Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comment
2237,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
5691,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
1229,INV168084-10245A,9/30/2024, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
2121,INV168084-10245A,9/30/2024, 326.70 ,IMPROPER HANDLING - OTHER,BCR,MISC: MISC:  Issue was due to incorrect site input.,&nbsp;
3071,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - CASSETTES,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
4533,INV168084-10245A,9/30/2024, 329.25 ,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2545,INV168084-10245A,9/30/2024, 448.38 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1928,INV168084-10245A,9/30/2024, 300.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,&nbsp;
5023,INV168084-10245A,9/30/2024, 499.80 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
3406,INV168084-10245A,9/30/2024, 324.75 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,&nbsp;
1652,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
628,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
2495,INV168084-10245A,9/30/2024, 425.00 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,&nbsp;
2821,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
574,INV168084-10245A,9/30/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
1605,INV168084-10245A,9/30/2024, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
3118,INV168084-10245A,9/30/2024, 425.00 ,FOREIGN OBJECT - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
6349,INV168084-10245A,9/30/2024, 300.00 ,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,&nbsp;
2550,INV168084-10245A,9/30/2024, 326.10 ,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,&nbsp;
5142,INV168084-10245A,9/30/2024, 442.46 ,IMPROPER HANDLING - OTHER,OTHER,MISC: MISC:  Issue was due to incorrect site input.,&nbsp;
3733,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
2152,INV168084-10245A,9/30/2024, 324.00 ,NON DEVICE RELATED ISSUES,OTHER,MISC: MISC:  Issue was due to incorrect site input.,&nbsp;
4118,INV168084-10245A,9/30/2024, 300.00 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,&nbsp;
5485,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
972,INV168084-10245A,9/30/2024, 658.94 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
5908,INV168084-10245A,9/30/2024, 466.44 ,IMPROPER HANDLING - VAULT,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
785,INV168084-10245A,9/30/2024, 454.75 ,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
5402,INV168084-10245A,9/30/2024," 5,341.95 ",IMPROPER HANDLING - OTHER,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
795,INV168084-10245A,9/30/2024," 1,486.36 ",IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
4104,INV168084-10245A,9/30/2024, 324.75 ,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
192,INV168084-10245A,9/30/2024, 545.72 ,IMPROPER HANDLING - OTHER,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
1924,INV168084-10245A,9/30/2024, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
468,INV168084-10245A,9/30/2024, 330.75 ,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
1783,INV168084-10245A,9/30/2024," 2,762.05 ",IMPROPER HANDLING - COIN SORTER,BCR,COIN AUDIT: Coin Audit,&nbsp;
3128,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1790,INV168084-10245A,9/30/2024," 1,651.35 ",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1821,INV168084-10245A,9/30/2024, 321.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
3290,INV168084-10245A,9/30/2024, 313.50 ,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2393,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2962,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - OTHER,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
3644,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2554,INV168084-10245A,9/30/2024, 598.92 ,IMPROPER HANDLING - GAS SPRING,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
2962,INV168084-10245A,9/30/2024," 1,102.83 ",IMPROPER HANDLING - OTHER,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
5701,INV168084-10245A,9/30/2024," 1,085.40 ",IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
5293,INV168084-10245A,9/30/2024, 325.88 ,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
525,INV168084-10245A,9/30/2024, 542.41 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2554,INV168084-10245A,9/30/2024," 1,558.74 ",IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1392,INV168084-10245A,9/30/2024, 321.00 ,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1194,INV168084-10245A,9/30/2024, 329.25 ,IMPROPER HANDLING - OTHER,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
3280,INV168084-10245A,9/30/2024, 324.00 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,&nbsp;
359,INV168084-10245A,9/30/2024," 1,900.50 ",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2706,INV168084-10245A,9/30/2024, 559.18 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1951,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - TILL,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
359,INV168084-10245A,9/30/2024," 1,800.61 ",IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
5466,INV168084-10245A,9/30/2024, 688.67 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
651,INV168084-10245A,9/30/2024, 622.16 ,IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1268,INV168084-10245A,9/30/2024, 808.06 ,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2763,INV168084-10245A,9/30/2024, 460.06 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
2176,INV168084-10245A,9/30/2024, 300.00 ,IMPROPER HANDLING - TILL,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
880,INV168084-10245A,9/30/2024, 324.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
1790,INV168084-10245A,9/30/2024," 1,568.82 ",IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2652,INV168084-10245A,9/30/2024, 323.63 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
2683,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
628,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
276,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
2495,INV168084-10245A,9/30/2024, 859.38 ,IMPROPER HANDLING - COIN SORTER,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
950,INV168084-10245A,9/30/2024, 329.25 ,IMPROPER HANDLING - CASSETTES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
5423,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1392,INV168084-10245A,9/30/2024," 1,773.56 ",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
3169,INV168084-10245A,9/30/2024, 567.53 ,IMPROPER HANDLING - OTHER,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
386,INV168084-10245A,9/30/2024, 329.85 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
5327,INV168084-10245A,9/30/2024, 329.85 ,IMPROPER HANDLING - TOUCH SCREEN,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1268,INV168084-10245A,9/30/2024, 320.25 ,SITE DECLINED TROUBLESHOOTING,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
2495,INV168084-10245A,9/30/2024, 612.65 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
5466,INV168084-10245A,9/30/2024," 1,350.83 ",IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2706,INV168084-10245A,9/30/2024, 554.97 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
428,INV168084-10245A,9/30/2024, 467.29 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,&nbsp;
3708,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
1082,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
2135,INV168084-10245A,9/30/2024, 459.00 ,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
1087,INV168084-10245A,9/30/2024, 425.00 ,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
1153,INV168084-10245A,9/30/2024, 541.90 ,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
5071,INV168084-10245A,9/30/2024, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1838,INV168084-10245A,9/30/2024, 300.00 ,NON DEVICE RELATED ISSUES,OTHER,MISC: MISC:  Issue was due to incorrect site input.,&nbsp;
3789,INV168084-10245A,9/30/2024, 455.81 ,IMPROPER HANDLING - OTHER,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
625,INV168084-10245A,9/30/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
601,INV168084-10245A,9/30/2024, 324.75 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
1194,INV168084-10245A,9/30/2024, 329.25 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1724,INV168084-10245A,9/30/2024, 321.00 ,IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
4438,INV168084-10245A,9/30/2024, 456.24 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
3712,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
5449,INV168084-10245A,9/30/2024, 324.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1055,INV168084-10245A,9/30/2024, 693.47 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
3712,INV168084-10245A,9/30/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
2550,INV168084-10245A,9/30/2024, 326.10 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
5957,INV168084-10245A,9/30/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1083,INV168084-10245A,9/30/2024, 791.32 ,NON DEVICE RELATED ISSUES,OTHER,MISC: MISC:  Issue was due to incorrect site input.,&nbsp;
1708,INV168084-10245A,9/9/2024, 322.35 ,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
3731,INV168084-10245A,9/30/2024, 320.82 ,IMPROPER HANDLING - OTHER,OTHER,MISC: MISC:  Issue was due to incorrect site input.,&nbsp;
228,INV168084-10245A,10/15/2024, 324.75 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
5804,INV168084-10245A,10/15/2024, 425.00 ,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
5049,INV168084-10245A,10/15/2024, 300.00 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
94,INV168084-10245A,10/15/2024, 329.25 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
3824,INV168084-10245A,10/15/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
3777,INV168084-10245A,10/15/2024, 324.75 ,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
2593,INV168084-10245A,10/15/2024, 478.23 ,NON DEVICE RELATED ISSUES,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
1223,INV168084-10245A,10/15/2024," 1,199.76 ",SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1093,INV168084-10245A,10/15/2024," 10,204.15 ",NON DEVICE RELATED ISSUES,BCR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
551,INV168084-10245A,10/15/2024, 532.54 ,IMPROPER HANDLING - TILL,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,&nbsp;
6365,INV168084-10245A,10/15/2024, 781.26 ,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,&nbsp;
332,INV168084-10245A,10/15/2024," 1,853.68 ",IMPROPER HANDLING - OTHER,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
3708,INV168084-10245A,10/15/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
2520,INV168084-10245A,10/15/2024," 1,810.48 ",NON DEVICE RELATED ISSUES,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
2801,INV168084-10245A,10/15/2024, 300.00 ,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,&nbsp;
771,INV168084-10245A,10/15/2024, 425.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,&nbsp;
6310,INV168084-10245A,10/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
584,INV168084-10245A,10/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1392,INV168084-10245A,10/15/2024, 748.72 ,IMPROPER HANDLING - CASSETTES,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1004,INV168084-10245A,10/15/2024," 1,182.56 ",IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2325,INV168084-10245A,10/15/2024, 345.39 ,IMPROPER HANDLING - OTHER,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
5095,INV168084-10245A,10/15/2024, 319.05 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
376,INV168084-10245A,10/15/2024, 328.35 ,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
3235,INV168084-10245A,10/15/2024," 5,376.66 ",IMPROPER HANDLING - OTHER,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
6444,INV168084-10245A,10/15/2024, 550.62 ,NON DEVICE RELATED ISSUES,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
6310,INV168084-10245A,10/15/2024, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
5342,INV168084-10245A,10/15/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
1367,INV168084-10245A,10/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
771,INV168084-10245A,10/15/2024, 425.00 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,&nbsp;
854,INV168084-10245A,10/15/2024," 1,582.47 ",NON DEVICE RELATED ISSUES,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
551,INV168084-10245A,10/15/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1279,INV168084-10245A,10/15/2024, 324.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
576,INV168084-10245A,10/15/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
6536,INV168084-10245A,10/15/2024, 318.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
5305,INV168084-10245A,10/15/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
551,INV168084-10245A,10/15/2024, 530.71 ,NON DEVICE RELATED ISSUES,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,&nbsp;
5335,INV168084-10245A,10/15/2024, 300.00 ,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,&nbsp;
3752,INV168084-10245A,10/15/2024, 328.35 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
1367,INV168084-10245A,10/15/2024," 1,145.71 ",SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,&nbsp;
1226,INV168084-10245A,10/15/2024, 329.25 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,&nbsp;
789,INV168084-10245A,10/15/2024," 1,712.44 ",IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
3288,INV168084-10245A,10/15/2024, 452.09 ,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,&nbsp;
2629,INV168084-10245A,10/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,&nbsp;
