Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
4351,WALMART NEIGHBORHOOD MARKET,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4352,WM SUPERCENTER,3757 55TH AVE S FARGO ND,WEST BU - ,47 - MICHAEL CANUP,427 - ELLEN TAYLOR,JOSHUA MILES,1627,415 34TH ST N DILWORTH MN 56529,(218) 331-3178,Tamara McMahon,Jodee Johnson,Viet Van Dong,Sherry Brown,"Academy is located in the general merchandise backroom via the door by the sporting goods department, then to the right."
4353,WALMART NEIGHBORHOOD MARKET,505 HOUSATONIC STREET BURLINGTON KS,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4354,NEIGHBORHOOD MARKET,5010 AIRPORT PULLING RD N NAPLES FL,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,102 - AUBREY HUNNICUTT,WILLIAM DEPOTTEY,5391,5420 JULIET BLVD NAPLES FL 34109,(239) 260-6188,CHARLCINA PAUL,Joy St Laurent,Shane Rutherford,Sherry Brown,Academy is located in the back of the store at the end of grocery action alley.
4355,WM SUPERCENTER,715 N MAIN ST TAYLOR AZ,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,364 - LARRY EZELL,JUSTIN JOHNSON,3730,3450 N GLASSFORD HILL RD PRESCOTT VALLEY AZ 86314,(928) 227-9089,Mindy Harper,Wendy Brown,Waylon Waldron,Keri Peck,Academy is located on the salesfloor near Automotive.
4356,WM SUPERCENTER,7200 ARROYO CROSSING PKWY LAS VEGAS NV,WEST BU - JAY CORDRAY,57 - ANNAMARIE DIAMOND,396 - CANDACE STEIN,PAUL BOWMAN,3350,5198 BOULDER HWY LAS VEGAS NV 89122,(702) 473-7506,Rachelle Pacheaco,Lisa Hogan,Waylon Waldron,Keri Peck,Academy is located on General Merchandise side of store in the backroom; near Sporting Goods go through Sporting Goods doors and Academy is located to the left. 
4357,NEIGHBORHOOD MARKET,6670 MOBILE HIGHWAY PENSACOLA FL,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,545 - DERALD CUPP,KIMBERLY WALKER,4333,10040 COUNTY ROAD 48 FAIRHOPE AL 36532,(251) 279-6006,Le Ennis,Sabine Merchant,Kimberly Austin,Sherry Brown,GM Backroom behind Sporting Goods
4358,WM SUPERCENTER,1606 S 72ND ST OMAHA NE,WEST BU - ,47 - MICHAEL CANUP,432 - CHARLIE VAUGHAN,JOHN CARLIN,1671,8525 S 71ST PLZ PAPILLION NE 68133,(402) 715-9314,Nels Nelson,Kelly Klopp,Monte Summerlin,Keri Peck,Academy is located back of the store by Sporting Goods 
4359,WM SUPERCENTER,7405 DEBARR ROAD ANCHORAGE AK,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,469 - BRAD SPITZ,KIMBERLY OLSON,2070,3101 A ST ANCHORAGE AK 99503,(907) 644-1032,Edgar Meza,Emily Bennett,Benjamin Mattheisen,Sherry Brown,BR GM side next to Sporting Goods
4360,WALMART NEIGHBORHOOD MARKET,705 N HIGH SCHOOL AVE COLUMBUS KS,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4361,WALMART NEIGHBORHOOD MARKET,1105 EAST 15TH STREET ELLSWORTH KS,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4362,WALMART NEIGHBORHOOD MARKET,120 WEST ROSEWOOD STREET ROSE HILL KS,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4363,WM SUPERCENTER,SWC JACK LONDON AND ISABEL LIVERMORE CA,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4364,WALMART.COM,6750 KIMBALL AVENUE CHINO CA,ECOMMERCE - RETAIL SUBDIVISION W - ,68 - N/A,715 - N/A,N/A,,,,,,,,
4365,WM SUPERCENTER,11930 NARCOOSSEE RD ORLANDO FL,SOUTHEAST BU - NICK BERKELEY,9 - LACEY MCGUIRE,90 - JOHN ANTOON,JOSEPH GILLIAM,943,1239 STATE ROAD 436 STE 101 CASSELBERRY FL 32707,(407) 551-0708,Julie Mungle,Neishla Zorn,Shane Rutherford,Sherry Brown,Academy is located in the General Merchandise backroom behind Electronics Department
4366,NEIGHBORHOOD MARKET,951 N RESLER DR EL PASO TX,NHM BU - ,64 - ULISES CORREA,526 - ROBERT EVANS,AMADOR LOPEZ,3136,13900 HORIZON BLVD HORIZON CITY TX 79928,(915) 206-6204,Sam Mullins,Rhonette Sanchez,Katrina Sampson,Keri Peck,Academy is located in the backroom  by Paper Goods 
4367,NEIGHBORHOOD MARKET,3302 SUMMERHILL RD TEXARKANA TX,NHM BU - ,64 - ULISES CORREA,542 - KATHERINE LUCKEY,TONYA FREER,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
4368,WM SUPERCENTER,34 BAHIA AVE OCALA FL,SOUTHEAST BU - NICK BERKELEY,3 - ABIGAIL BELOBRAYDIC,93 - SHEILA PEREZ,JAMES EVANS,551,1024 S STATE ROAD 19 PALATKA FL 32177,(386) 336-4162,Urious Seabrooks,Stacey Stein,Shane Rutherford,Sherry Brown,"Academy is located on GM side, enter backroom through layaway, make left to Academy."
4369,WM SUPERCENTER,1010 MARTIN LUTHER KING PARKWAY DURHAM NC,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4370,WM SUPERCENTER,1550 NEWLANDS DR E FERNLEY NV,WEST BU - JAY CORDRAY,56 - CHRISTOPHER NELSON,392 - PHILLIP WALDROP,CRYSTAL CUMPLIDO,4370,1550 NEWLANDS DR E FERNLEY NV 89408,(775) 404-6026,Michael Russell,0,Benjamin Mattheisen,Sherry Brown,Academy is located adjacent to the apparel department in the back of the store. 
4371,NEIGHBORHOOD MARKET,3520 RICHMOND RD TEXARKANA TX,NHM BU - ,64 - ULISES CORREA,542 - KATHERINE LUCKEY,MARCO DELGADO,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
4372,WM SUPERCENTER,100 WALMART DR KINGWOOD WV,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,320 - ADAM BLAIR,ANDREW CONN,1714,32 TYGART MALL LOOP FAIRMONT WV 26554,(304) 363-7904,PJ Rohrer,Janie Linger,Shane Neilson,Keri Peck,Academy is located in the backroom by Sporting Goods
4373,NEIGHBORHOOD MARKET,200 WAKE VILLAGE RD WAKE VILLAGE TX,NHM BU - ,64 - ULISES CORREA,542 - KATHERINE LUCKEY,JOHN HARDAWAY,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
4374,WM SUPERCENTER,2301 EAST FRONTAGE ROAD LITCHFIELD MN,WEST BU - JAY CORDRAY,52 - STEVEN REED,421 - JOSHUA VOGT,BETH KANNAS,3624,9320 CEDAR ST MONTICELLO MN 55362,(763) 295-0300,Jolene Jackson,Nancy Hunter,Viet Van Dong,Sherry Brown,Academy is accessed from the sales floor behind the sporting goods department.  
4375,NEIGHBORHOOD MARKET,4900 JENNIFER TER SPRINGDALE AR,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,534 - JULIE ROYALL,TREY YOUNG,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
4376,NEIGHBORHOOD MARKET,1400 N WALTON BLVD BENTONVILLE AR,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,534 - JULIE ROYALL,TIM GATTIN,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
4377,WM SUPERCENTER,2000 W VICTORY WAY CRAIG CO,WEST BU - JAY CORDRAY,54 - COLT BENSON,388 - JOHN CLIFTON,HEIDI LOVERIDGE,5137,6101 S AURORA PKWY AURORA CO 80016,(303) 927-4171,John Genova,KASEY CRUZ VELEZ,Monte Summerlin,Keri Peck,Academy is located on General Merchandise side of store near toys. Go through the door in the toy department and the Academy is on the left. 
4378,WM SUPERCENTER,26036 LANKFORD HWY ONLEY VA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,285 - ALLAND ANDERSON,TANYA ADAMS-JUSTICE,3644,201 HILLCREST PKWY CHESAPEAKE VA 23322,(757) 296-3004,Jennifer Spencer,Andrea Walker,Julie Stevens,Sherry Brown,Academy is located in the backroom near electronics department.
4379,WM SUPERCENTER,1326 BUSH RIVER RD COLUMBIA SC,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4380,NEIGHBORHOOD MARKET,10635 W ATLANTIC BLVD CORAL SPRINGS FL,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,488 - MATTHEW DAKHO,JOSE COLON,2591,151 SW 184TH AVE PEMBROKE PINES FL 33029,(954) 266-6223,Shakisha Lawrence,DARRELL CARR,Shane Rutherford,Sherry Brown,"GM Backroom- Take the isle just to the right of the Electronics Department (Toys Section);Look for this sign: “Walmart Leaders trained through these doors.”_x000D_
"
4381,WM SUPERCENTER,1101 BRANSON HILLS PKWY BRANSON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - N/A,333 - KYLE MANN,JOSHUA STEVENS,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
4382,WM SUPERCENTER,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4383,WM SUPERCENTER,5851 MERCURY DR DEARBORN MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,197 - ANTHONY GONINO,NANCY PATTON,4660,18400 HALL RD CLINTON TOWNSHIP MI 48038,(586) 840-0731,Tanya Reyes,Tabitha Cargill,Keith Leardon,Sherry Brown,Academy located in center of backroom.
4384,WM SUPERCENTER,3000 PROPRIETORS PL MOUNT PLEASANT SC,EAST BU - ANNIE WALKER,4 - JASON LEISENRING,36 - NATOYA CHAMPION,N/A,1358,2110 BELLS HWY WALTERBORO SC 29488,(843) 538-1220,Theresa Hampleton,Nique Cates Scott,Julie Stevens,Sherry Brown,"Academy is located on GM side, backroom, behind sporting goods"
4385,WM SUPERCENTER,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4386,NEIGHBORHOOD MARKET,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4387,WM SUPERCENTER,25 TOBIAS BOLAND WAY WORCESTER MA,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,156 - DANIELLE ROESCH,N/A,3409,20 SOOJIAN DR LEICESTER MA 1524,(508) 892-1060,Shannon Mulcahy,Matthew Rutter,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Infants and Grocery Department
4388,NEIGHBORHOOD MARKET,1211 W BROAD ST STE A WAYNESBORO VA,NHM BU - ,59 - ERIC BUSHNELL,502 - MIGUEL ARTWELL,JEFFREY FITZGERALD,1833,1800 CARL D SILVER PKWY FREDERICKSBURG VA 22401,(540) 736-6156,Afanwi D Brian,Karen Bergquist,Shane Neilson,Keri Peck,Academy is located in a modular building behind the store near the ACC parking lot.
4389,WM SUPERCENTER,4901 DARTMOUTH COLLEGE HWY WOODSVILLE NH,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,181 - CHRISTINA FOGG,MELINDA RILEY,2055,344 LOUDON RD CONCORD NH 3301,(603) 573-4154,Christopher Carrie,Tammy Valyou,Lisa Lafreniere,Keri Peck,Academy is located in backroom near Electronics Department
4390,NEIGHBORHOOD MARKET,1018 N. CLEVELAND STREET ENID OK,NHM BU - ,64 - ULISES CORREA,507 - WESLEY WILSON,LORI ROBINSON,108,1608 S DIVISION ST GUTHRIE OK 73044,(405) 346-6012,NATALIA HARMON,Deborah Clutter,Rob Gray,Keri Peck,Academy is located in the Garden Center on the General Merchandise side of the building.
4391,WALMART NEIGHBORHOOD MARKET,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4392,WM SUPERCENTER,12234 PALMDALE RD VICTORVILLE CA,WEST BU - JAY CORDRAY,58 - FRANCISCO AHUMADA,445 - JACQUELINE WILLIAMS,AMY CORTEZ,3796,1333 N MOUNTAIN AVE ONTARIO CA 91762,(909) 472-4994,Andrew Cushman,Henry Pardo,Waylon Waldron,Keri Peck,Through the door by Sporting Goods
4393,WM SUPERCENTER,4675 WATT AVE NORTH HIGHLANDS CA,WEST BU - JAY CORDRAY,56 - CHRISTOPHER NELSON,453 - MICHELLE KENT,CHRISTOPHER DRAHOS,3587,5454 CROSSINGS DR ROCKLIN CA 95677,(916) 824-0931,Deborah Turner,Coltara Cady,Benjamin Mattheisen,Sherry Brown,Academy is located in the lawn and garden department. 
4394,WM SUPERCENTER,1221 S HAYFORD RD SPOKANE WA,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,474 - CLINTON SLOVARP,KARL BONNER,4394,1221 S HAYFORD RD SPOKANE WA 99224,(509) 795-3002,Roy Powell,Michelle Lemery,Benjamin Mattheisen,Sherry Brown,Modular building next to GC left side of building
4395,WM SUPERCENTER,6405 W POINTE PARKWAY POST FALLS ID,WEST BU - JAY CORDRAY,60 - RISSA PITTMAN,474 - CLINTON SLOVARP,HEIDI DAVIS,4394,1221 S HAYFORD RD SPOKANE WA 99224,(509) 795-3002,Roy Powell,Michelle Lemery,Benjamin Mattheisen,Sherry Brown,Modular building next to GC left side of building
4396,HOME OFFICE,840 W CALIFORNIA AVE SUNNYVALE CA,ADMINISTRATIVE - CORPORATE SUBDIVISION Z - ,97 - N/A,997 - N/A,N/A,,,,,,,,
4397,HOME OFFICE,680 W CALIFORNIA AVE SUNNYVALE CA,ADMINISTRATIVE - CORPORATE SUBDIVISION Z - ,90 - N/A,910 - N/A,N/A,,,,,,,,
4398,HOME OFFICE,950 ELM AVE SAN BRUNO CA,ADMINISTRATIVE - CORPORATE SUBDIVISION Z - ,97 - N/A,997 - N/A,N/A,,,,,,,,
4399,WM SUPERCENTER,30830 OLD US 20 ELKHART IN,NORTH BU - GLENDA FLEMING WILLIS,21 - N/A,247 - NICHOLAS HESS,KRISTEN HOPPER,5065,501 N 9TH ST KALAMAZOO MI 49009,(269) 544-0445,Haylee Willden,Corinne Straka,Keith Leardon,Sherry Brown,Academy is a modular building located across from GM side of building
4400,WM SUPERCENTER,MICHIGAN RD AND 421 ZIONSVILLE IN,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4401,WALMART.COM,6055 SOUTH FULTON PARKWAY ATLANTA GA,ECOMMERCE - RETAIL SUBDIVISION W - ,68 - N/A,715 - N/A,N/A,,,,,,,,
4402,WM SUPERCENTER,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4403,WM SUPERCENTER,24 QUAKER RIDGE BLVD QUEENSBURY NY,EAST BU - ANNIE WALKER,16 - JESSICA HUNTSMAN,187 - ROBERT HAZARD,RICK BEAVER,2056,16 OLD GICK RD SARATOGA SPRINGS NY 12866,(518) 581-4074,Dwayne Nadeau,Bonnie Aldi,Lisa Lafreniere,Keri Peck,Academy is located in the backroom by bakery
4404,WM SUPERCENTER,50 NEWBERRY PKWY ETTERS PA,EAST BU - ANNIE WALKER,22 - ANN L ALMEIDA,233 - RANDALL MUMMERT,DENNIS SWOPE,1529,2801 E MARKET ST BLDG B YORK PA 17402,(717) 781-8349,Chad Roeting,Miriam Waltimyer,Shane Neilson,Keri Peck,"Academy is located on the 2nd floor.  Utilize the stairs near Electronics Department. You may also use the Academy elevator located through the doors at the shoe department and to the left, by claims."
4405,WM SUPERCENTER,2900 KIRK RD AURORA IL,NORTH BU - GLENDA FLEMING WILLIS,25 - ADONIS CLARK SR.,264 - ROSHANE ELLINGTON,JACOB OLSON,1401,2552 W 75TH ST NAPERVILLE IL 60564,(331) 229-5582,Nicholas Peterson,Selena Ensalaco,Viet Van Dong,Sherry Brown,"Academy is located on the General Merchandise side of the store, back wall of sporting goods."
4406,WM SUPERCENTER,200 S. BOLINGBROOK DR. BOLINGBROOK IL,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4407,WM SUPERCENTER,10710 CHANTILLY PKWY MONTGOMERY AL,SOUTHEAST BU - NICK BERKELEY,14 - ANTHONY WILLIAMS,8 - INNOCENT AMEACHI,CEDRICKIA TOWNS,1101,4538 US HIGHWAY 231 WETUMPKA AL 36092,(334) 478-6064,Charlie Edmondson,Shelia Easterling,Kimberly Austin,Sherry Brown,"Module Building in front parking lot of store 1101, behind gas station."
4408,WM SUPERCENTER,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4409,WM SUPERCENTER,1801 NATHAN DEAN BYP ROCKMART GA,SOUTHEAST BU - NICK BERKELEY,2 - SEAN REAL,22 - MICHAEL MCKINNEY,SHANNON MOONEY,5275,6435 BELLS FERRY RD WOODSTOCK GA 30189,(678) 224-9252,Tom Polese,Anju Nandakumar,Kimberly Austin,Sherry Brown,Grocery Backroom behind Infants.
4410,WM SUPERCENTER,4780 HICKORY BLVD GRANITE FALLS NC,EAST BU - ANNIE WALKER,26 - ARIANNA BONUTTI,304 - ANTHONY TRENT,DANIEL ANDERSON,1060,G120 MORGANTON HEIGHTS BLVD MORGANTON NC 28655,(828) 544-6129,Angie Bates,Carla Hatton,Julie Stevens,Sherry Brown,Academy is located in the backroom near infants department.
4411,WM SUPERCENTER,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4412,WM SUPERCENTER,101 BERNHARDT RD LAUREL MT,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,382 - JAMES PARKER,SHARON WILKERSON,1872,2750 PROSPECT AVE HELENA MT 59601,(406) 437-9089,Daniel Lange,Tina Moll,Benjamin Mattheisen,Sherry Brown,BR Grocery side towards center of building
4413,NEIGHBORHOOD MARKET,4230 SARON DR LEXINGTON KY,NHM BU - ,59 - ERIC BUSHNELL,494 - TRACY PERRY,JEFFREY SINGLETON,3894,2350 GREY LAG WAY LEXINGTON KY 40509,(859) 629-4687,Sam Revlett,Danielle Dwyer,Keith Leardon,Sherry Brown,Academy is located in the backroom by Sporting Goods
4414,WM SUPERCENTER,515 W BROAD ST SMITHVILLE TN,SOUTHEAST BU - NICK BERKELEY,12 - JASON SCHWINDT,152 - MONIQUE COPELAND,STEPHEN ABELL JR.,682,2000 OLD FORT PKWY MURFREESBORO TN 37129,(615) 546-6008,Carl Lemay,Jenny Bray,Beth Wiseman,Sherry Brown,"Academy is located on Grocery side, backroom, behind pets"
4415,NEIGHBORHOOD MARKET,8115 NORTH LOOP DR EL PASO TX,NHM BU - ,64 - ULISES CORREA,526 - ROBERT EVANS,JESUS LUNA JR.,3136,13900 HORIZON BLVD HORIZON CITY TX 79928,(915) 206-6204,Sam Mullins,Rhonette Sanchez,Katrina Sampson,Keri Peck,Academy is located in the backroom  by Paper Goods 
4416,WM SUPERCENTER,13003 TOMBALL PKWY HOUSTON TX,SOUTHWEST BU - PAUL LEWELLEN,6 - JOHN HODSDEN,67 - ORIANA FANTASIA-RODRIGUEZ,AARON WEDDINGTON,5045,22605 STATE HIGHWAY 249 TOMBALL TX 77375,(832) 761-8409,Shanoye Charles,Shehla Philip,Elayni Points,Keri Peck,"Academy is located inside the building in the grocery receiving, closest door by dairy"
4417,WM SUPERCENTER,8191 UPLAND BND CAMBY IN,NORTH BU - GLENDA FLEMING WILLIS,41 - JAMES VALENTI,251 - BROCK FREDERICKSON,CHADWICK LONG,3435,1133 NO EMERSON ROAD GREENWOOD IN 46143,(317) 865-4098,Erin Glover,Connie Smith,Keith Leardon,Sherry Brown,The Academy is located on the GM side of the store behind Sporting Goods. Enter through the double doors and the Academy entrance is straight ahead. 
4418,WM SUPERCENTER,TBA CLARE MI,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4419,WM SUPERCENTER,TBA KALKASKA MI,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4420,WM SUPERCENTER,115 E CHURCH ST LEESVILLE SC,EAST BU - ANNIE WALKER,4 - JASON LEISENRING,41 - ADNAN GHUMMAN,ROYCE WALLACE,3570,4469 WASHINGTON RD EVANS GA 30809,(706) 855-9513,Kiffany Avera,Maggie Rumfelt,Julie Stevens,Sherry Brown,GM Backroom near Electronics and Toys.
4421,NEIGHBORHOOD MARKET,7400 BLACKMON RD COLUMBUS GA,NHM BU - ,59 - ERIC BUSHNELL,546 - TAMEKA ALFORD,N/A,5363,11465 TARA BLVD HAMPTON GA 30228,(678) 561-9013,Tyrone Street,Keisha Otis,Kimberly Austin,Sherry Brown,GM Backroom behind Sporting Goods.
4422,WM SUPERCENTER,AJO AND KINNEY TUCSON AZ,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4423,WM SUPERCENTER,5680 HAMMONDS MILL RD MARTINSBURG WV,EAST BU - ANNIE WALKER,76 - WAYNE MCFARLAND JR.,280 - N/A,JOSEPH GRIFFIN,1406,2350 S PLEASANT VALLEY RD WINCHESTER VA 22601,(540) 773-6158,Heather Dribelbis,Margaret Webber,Shane Neilson,Keri Peck,Academy is located in a white modular building in the parking lot in front of the Garden Center. Enter on the side with the ramp.
4424,WM SUPERCENTER,29176 VAN DYKE AVE WARREN MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,206 - BRIAN REID,DAVID BUSHROE II,4660,18400 HALL RD CLINTON TOWNSHIP MI 48038,(586) 840-0731,Tanya Reyes,Tabitha Cargill,Keith Leardon,Sherry Brown,Academy located in center of backroom.
4425,NEIGHBORHOOD MARKET,7818 COLONIAL WEST DRIVE ORLANDO FL,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,96 - ALAN MADDOCK,ENERIS TORRES COLON,2695,1450 JOHNS LAKE RD CLERMONT FL 34711,352-243-6151,Jessica Ruggiera,Chaveli Watson,Shane Rutherford,Sherry Brown,.
4426,NEIGHBORHOOD MARKET,1042 MANCHESTER EXPY COLUMBUS GA,NHM BU - ,59 - ERIC BUSHNELL,546 - TAMEKA ALFORD,JOHN NICKERSON,1101,4538 US HIGHWAY 231 WETUMPKA AL 36092,(334) 478-6064,Charlie Edmondson,Shelia Easterling,Kimberly Austin,Sherry Brown,"Module Building in front parking lot of store 1101, behind gas station."
4427,WM SUPERCENTER,3221 N MONROE ST TALLAHASSEE FL,SOUTHEAST BU - NICK BERKELEY,14 - ANTHONY WILLIAMS,97 - JAMES TORRES,DENISE HANNEN,1408,4400 W TENNESSEE ST TALLAHASSEE FL 32304,(850) 895-8216,Anthony Bianco,Edward Berk,Kimberly Austin,Sherry Brown,"Academy is located in modular unit locatated outside, on GM side across from OGP parking. "
4428,WM SUPERCENTER,1636 HENDERSONVILLE RD ASHEVILLE NC,EAST BU - ANNIE WALKER,4 - JASON LEISENRING,294 - GREGORY OLLIVER,KRISTEN HARSEY,1179,60 AIRPORT RD ARDEN NC 28704,(828) 708-6644,Kevin Hotovy,Matt Rathbone,Julie Stevens,Sherry Brown,"Academy is located on GM side, backroom, behind sporting goods"
4429,NEIGHBORHOOD MARKET,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4430,WM SUPERCENTER,41650 W MARICOPA CASA GRANDE HWY MARICOPA AZ,SOUTHWEST BU - PAUL LEWELLEN,46 - RHONDA GRAHAM,373 - TOM MCREYNOLDS,DARNELL WILLIAMS,3861,5290 S POWER RD GILBERT AZ 85295,(480) 988-1044,William Latin,Jamie Ayling,Waylon Waldron,Keri Peck,Academy is located in the general Merchandise backroom near Toys.
4431,NEIGHBORHOOD MARKET,966 E IREDELL AVE MOORESVILLE NC,NHM BU - ,59 - ERIC BUSHNELL,509 - JOSHUA BLEVINS,ROBERTO SAN MIGUEL,2005,2420 SUPERCENTER DR NE KANNAPOLIS NC 28083,(704) 706-6185,Alex Luchyk,Trish Anderson,Julie Stevens,Sherry Brown,Academy is located in the backroom through the dairy department.
4432,NEIGHBORHOOD MARKET,1818 NORTHWEST BLVD NEWTON NC,NHM BU - ,59 - ERIC BUSHNELL,499 - N/A,KYLE SCHUMACHER,1060,G120 MORGANTON HEIGHTS BLVD MORGANTON NC 28655,(828) 544-6129,Angie Bates,Carla Hatton,Julie Stevens,Sherry Brown,Academy is located in the backroom near infants department.
4433,NEIGHBORHOOD MARKET,RECLAIMED TBA BENTONVILLE AR,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4434,NEIGHBORHOOD MARKET,7855 SW HWY 200 OCALA FL,NHM BU - ,72 - JAIME FERNANDEZ PALACIOS,559 - N/A,JOSHUA MCADAMS,2695,1450 JOHNS LAKE RD CLERMONT FL 34711,352-243-6151,Jessica Ruggiera,Chaveli Watson,Shane Rutherford,Sherry Brown,.
4435,WM SUPERCENTER,3458 DICKERSON PIKE NASHVILLE TN,SOUTHEAST BU - NICK BERKELEY,12 - JASON SCHWINDT,149 - KEVIN NEWMAN,JACOB JOHNSON,1376,204 N ANDERSON LN HENDERSONVILLE TN 37075,(615) 757-4260,Vanessa Culbreath,Shea Day,Beth Wiseman,Sherry Brown,"Academy is located on GM side, backroom, behind sporting goods"
4436,WM SUPERCENTER,5455 ATLANTA HWY ALPHARETTA GA,SOUTHEAST BU - NICK BERKELEY,2 - SEAN REAL,24 - TINA MCCRICKARD,MICAH LONHOLM,4436,5455 ATLANTA HWY ALPHARETTA GA 30004,(470) 219-6638,Leah Sampson,Erin Joyce,Kimberly Austin,Sherry Brown,Free standing Brick building beside Lawn & Garden Dept.
4437,NEIGHBORHOOD MARKET,TBA 4437 FT. PIERCE FL,US Retail SD X - ,99 - N/A,999 - N/A,N/A,,,,,,,,
4438,WM SUPERCENTER,136 W STATE ROAD 73 SARATOGA SPRINGS UT,WEST BU - JAY CORDRAY,54 - COLT BENSON,582 - MATTHEW SIMPLEMAN,CASSY RICHARDS,2511,949 W GRASSLAND DR AMERICAN FORK UT 84003,(801) 216-3094,Matthew Evans,Karina Searle,Monte Summerlin,Keri Peck,Academy is located on the Grocery side of store in a modular building outside of the building. 
4439,WM SUPERCENTER,1013 S KALAMAZOO ST PAW PAW MI,NORTH BU - GLENDA FLEMING WILLIS,19 - JACOB GAILEY,201 - JAGJIT BRAR,KYLE TUCKERMAN,5065,501 N 9TH ST KALAMAZOO MI 49009,(269) 544-0445,Haylee Willden,Corinne Straka,Keith Leardon,Sherry Brown,Academy is a modular building located across from GM side of building
4440,WM SUPERCENTER,1180 DUTCH FORK RD IRMO SC,EAST BU - ANNIE WALKER,4 - JASON LEISENRING,41 - ADNAN GHUMMAN,ANTONIO FLORES JR.,1130,922 E MAIN ST LAURENS SC 29360,(864) 682-8130,LATARSHA WILLIAMS,Maggie Rumfelt,Julie Stevens,Sherry Brown,"Academy is located on GM side, backroom, behind toys"
