Primary,Business Domain,Data Group ,,,,
French,Tous les domaines,Renseignements sur l’emploi,Données fiscales,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Renseignements sur l’emploi,Numéro d’identification du contribuable,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Numéro d’identification du contribuable,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements sur l’état du permis de travail ou l’autorisation d’embauche,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements sur l’état du permis de travail ou l’autorisation d’embauche,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Renseignements sur l’emploi,Code de poste,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Profession/poste,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Affiliations professionnelles,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Supérieur ou superviseur,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Données d’utilisation de la carte de remise d’un associé,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Réponses à un sondage auprès de collègues (anonymes),Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Réponses à un sondage auprès de collègues (identifiables),Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Journaux de communication relatifs aux actions， mais pas aux personnes,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Nom de l’entreprise,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Retenues salariales obligatoires,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements sur les dépenses,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements sur la santé et la sécurité et rapports d’accident,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Revenu， salaire， frais d’administration， autre rémunération,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements relatifs aux personnes à charge ou aux bénéficiaires,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements relatifs à la famille， aux personnes à charge ou aux bénéficiaires,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Renseignements sur l’emploi,Formation en cours d’emploi,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Antécédents professionnels des associés， évaluations et mesures disciplinaires,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Renseignements sur l’emploi,Évaluation de la personne interrogée et décision d’embauche,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements relatifs aux congés autorisés,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Raison du congé autorisé,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Permis détenus et renseignements connexes,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Permis et affiliations professionnelles,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements relatifs au bureau ou l’emplacement,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Coordonnées des propriétaires,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Part détenue par un propriétaire (pour les personnes clés),Non sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements relatifs au rendement,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Lieu de travail， titre， rôle， grade， responsabilités， hiérarchie,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Références,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Date et motif de départ,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Compétences et réalisations,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements relatifs aux déplacements,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Registre des visiteurs,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Retenues salariales volontaires,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Date d’entrée en service et date de départ,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Demandes d’indemnité pour accident du travail,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Heures de travail,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Dossiers d’emploi (y compris le salaire， l’assiduité， les avantages sociaux),Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Renseignements sur la rémunération et les avantages sociaux,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Données salariales,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Données salariales (Chine),Sensibles,Renseignements personnels,Chine
French,Tous les domaines,Renseignements sur l’emploi,COVID-19 et autres documents liés à l’épidémie,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’emploi,Organigrammes,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Éthique,Dossiers relatifs à l’éthique et renseignements sur les enquêtes ,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Informations financières,Données de suivi complètes ou partielles (p. ex. code de vérification de carte， NIP ou blocage de NIP， code de service); plus de 10 chiffres d’un numéro de carte de crédit ou de débit,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Informations financières,Numéro de carte de crédit ou de débit partiel ou numéro de compte de l’institution financière,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Informations financières,Numéro de compte principal de carte-cadeau sans logo de marque de carte,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Informations financières,Stocks,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Informations financières,Ventes， créances， allocations， autres revenus,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Prévisions,Ventes， ventes publicitaires， stocks， demande， approvisionnement,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Impôt général,Administration du carburant,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro d’enregistrement des étrangers,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro de permis de conduire,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro de permis de conduire,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Identifiants gouvernementaux,Numéro de permis de conduire,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Identifiants gouvernementaux,Numéro d’identification de l’employeur (pour les entreprises aux États-Unis),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Pièces d’identité émises par le gouvernement : type， émetteur et numéro (numéro d’assurance nationale， numéro de passeport， numéro de permis de conduire， numéro des services nationaux de santé， numéro de sécurité sociale， numéro d’assurance sociale),Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Pièces d’identité émises par le gouvernement : type， émetteur et numéro (numéro d’assurance nationale， numéro de passeport， numéro de permis de conduire， numéro de services de santé publique),Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Identifiants gouvernementaux,Pièces d’identité émises par le gouvernement : type， émetteur et numéro (numéro d’assurance nationale， numéro de passeport， numéro de permis de conduire， numéro de services de santé publique),Sensibles,Renseignements personnels,Mexique
French,Tous les domaines,Identifiants gouvernementaux,Identifiant de programme de soins médicaux ou d’aide alimentaire subventionné par le gouvernement,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro d’assurance sociale,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro d’assurance sociale,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Identifiants gouvernementaux,Numéros d’identification nationale pour les permis d’exercer,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro des services nationaux de santé,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Autre numéro d’identification émis par le gouvernement,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Autre numéro d’identification émis par le gouvernement,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Identifiants gouvernementaux,Renseignements sur le passeport et le visa,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Renseignements sur le passeport et le visa,Sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Identifiants gouvernementaux,Numéro RSI (numéro d’identification aux fins de l’impôt en Irlande),Hautement sensibles,Renseignements personnels,Irlande
French,Tous les domaines,Identifiants gouvernementaux,Numéro de sécurité sociale,Hautement sensibles,Renseignements personnels,É.-U.
French,Tous les domaines,Identifiants gouvernementaux,Numéro de sécurité sociale,Sensibles,Renseignements personnels,Mexique
French,Tous les domaines,Identifiants gouvernementaux,Aadhaar,Hautement sensibles,Renseignements personnels,Inde
French,Tous les domaines,Identifiants gouvernementaux,RUT (Rol Único Tributario， qui est le numéro d’identification du contribuable au Chili),Hautement sensibles,Renseignements personnels,Chili
French,Tous les domaines,Identifiants gouvernementaux,Numéro d’identification aux fins de l’impôt,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants gouvernementaux,Numéro d’immatriculation du véhicule,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements médicaux et relatifs à l’assurance maladie,Médicaments， thérapies， produits ou appareils médicaux utilisés,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Tendances psychologiques,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Test sur les activités et le comportement,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Test sur les caractéristiques personnelles,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Code du marché désigné,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Habitudes de navigation sur le Web,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Préférences et caractéristiques individuelles,Capacités professionnelles,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Données d’analyse relatives aux comportements et aux préférences d’achat des clients pour créer des profils de clients individuels ,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Données d’analyse relatives aux comportements et aux préférences d’achat des clients pour créer des profils de clients individuels ,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Préférences et caractéristiques individuelles,Aptitudes,Hautement sensibles,Renseignements personnels,Canada
French,Tous les domaines,Préférences et caractéristiques individuelles,Aptitudes,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Hypothèses， prédictions， notes et cotes tirées de l’analyse des données,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Comportement,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Taille des vêtements et des chaussures,Hautement sensibles,Renseignements personnels,Canada
French,Tous les domaines,Préférences et caractéristiques individuelles,Taille des vêtements et des chaussures,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Études collégiales,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Caractéristiques des consommateurs,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Préférences des consommateurs,Hautement sensibles,Renseignements personnels,Canada
French,Tous les domaines,Préférences et caractéristiques individuelles,Préférences des consommateurs,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Exigences alimentaires,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Type de logement,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Revenu estimatif déterminé,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Indicateur d’âge du ménage,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Intérêts et loisirs,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Mode de vie， intérêts， activités et préférences,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Nombre de véhicules en propre,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Nombre de personnes dans le ménage,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Préférences et caractéristiques individuelles,Prédispositions,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements institutionnels,Énoncés des travaux， contrats-cadres de services， accords de non-divulgation et addenda sur la sécurité de l’information (contrats) contenant des renseignements hautement sensibles,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements institutionnels,Énoncés des travaux， contrats-cadres de services， accords de non-divulgation et addenda sur la sécurité de l’information (contrats) qui ne contiennent pas de renseignements hautement sensibles,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements institutionnels,Liste des fournisseurs,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements institutionnels,Nom du partenaire d’affaires et du fournisseur,Sensibles,Renseignements commerciaux,Afrique du Sud
French,Tous les domaines,Renseignements institutionnels,Données de vente de produits par canal de vente ou par marché ,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements institutionnels,Renseignements sur Massmart accessibles au public et renseignements rendus délibérément publics par la personne concernée,Non sensibles,Renseignements commerciaux,Afrique du Sud
French,Tous les domaines,Renseignements institutionnels,Renseignements sur Massmart non accessibles au public， renseignements sur Massmart,Sensibles,Renseignements commerciaux,Afrique du Sud
French,Tous les domaines,Renseignements institutionnels,Renseignements non accessibles au public provenant des partenaires d’affaires,Sensibles,Renseignements commerciaux,Afrique du Sud
French,Tous les domaines,Renseignements institutionnels,Autres renseignements financiers， relevant du secret commercial， exclusifs et confidentiels à diffusion restreinte relatifs à Massmart (non rendus publics par Massmart ou accessibles dans le domaine public， par exemple au bureau d’enregistrement des actes， sur le site de la CIPC， etc.),Hautement sensibles,Renseignements commerciaux,Afrique du Sud
French,Tous les domaines,Activité sur Internet， sur les applications et sur le réseau,Lettres， courriels， appels， textos， messages multimédias， messagerie instantanée,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Service du contentieux,Renseignements sur les poursuites et les réclamations ,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Technologie de suivi en ligne,Suivi en ligne (comme les témoins) du nom des bénéficiaires de dons,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Autres données diverses – Royaume-Uni seulement,Plaintes et réclamations,Hautement sensibles,Renseignements personnels,Royaume-Uni
French,Tous les domaines,Identifiants personnels,Numéro de permis d’exploitation commerciale,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de grand voyageur de compagnie aérienne,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Alias ou noms précédents,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Identifiants émis par Walmart (p. ex. noms d’utilisateur， numéro de fournisseur， numéro d’identification Walmart),Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Coordonnées de l’entreprise,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Adresse professionnelle de la personne-ressource de l’entreprise,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de téléphone de la personne-ressource de l’entreprise,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Adresse professionnelle de l’entreprise ou du membre,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de télécopieur de l’entreprise ou du membre,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de téléphone de l’entreprise ou du membre,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Coordonnées de la personne à joindre en cas d’urgence,Hautement sensibles,Renseignements personnels,Canada
French,Tous les domaines,Identifiants personnels,Coordonnées de la personne à joindre en cas d’urgence,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Adresse de résidence,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de télécopieur résidentiel,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de téléphone résidentiel,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Adresse postale résidentielle,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Nom,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Occurrence unique d’un nom ou d’un prénom,Non sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Identifiants personnels,Numéro de téléphone au bureau,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Numéro de paie,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Signature ou signature électronique,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Signature ou signature électronique,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Identifiants personnels,Numéro de téléphone au travail,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Documents d’identification des travailleurs,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Identifiants personnels,Coordonnées GPS en temps réel,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Prix,Marge,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Prix,Prix non publié ou futur,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Prix,Prix publié ou prix indiqué sur la tablette,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements institutionnels exclusifs,Autres renseignements institutionnels exclusifs,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements institutionnels exclusifs,Technologie ou données brevetées ou exclusives,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Autre information publique,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Téléphone d’affaires,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Nom de l’entreprise ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Cadres supérieurs,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Rapports annuels publiés,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Coordonnées de l’entreprise publiées ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Centres de distribution publiés,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Documentation promotionnelle publiée ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Renseignements publiés dans la presse ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Adresse professionnelle publiée ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Adresses IP publiées,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Marques en propre publiées ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Information publique,Nombre de magasins et superficie de vente publiés accessibles au public ,Non sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements sur l’historique des achats,Historique des commandes et des achats (biens et services achetés),Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Renseignements sur l’historique des achats,Historique des commandes et des achats de clients individuels (biens et services),Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Renseignements sur l’historique des achats,Historique des commandes et des achats de clients commerciaux (biens et services),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Immobilier,Plans d’affaires en matière d’immobilier,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Immobilier,Stratégie de croissance,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Immobilier,Renseignements fournis par les propriétaires et les promoteurs immobiliers ,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Immobilier,Dossiers de propriété immobilière ,Hautement sensibles,Renseignements commerciaux,Afrique du Sud
French,Tous les domaines,Immobilier,Recommandations ou évaluations exécutées par une organisation de vérification et de conformité,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Immobilier,Plans ou projets d’ouverture,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Immobilier,Résultats de rendement (y compris les résultats prévus， les examens postvérifications et les objectifs et résultats clés liés aux ventes au cours de l’année suivant l’ouverture),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Gestion des risques ,Autres données sur le risque (p. ex. résultat de la vérification， résultat ISO),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Suivi des envois,Coordonnées GPS en temps réel,Sensibles,Renseignements commerciaux,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Renseignements sur l’incapacité,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Ethnicité,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Renseignements sur un enfant de moins de 13 ans,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Renseignements sur un enfant de moins de 14 ans,Hautement sensibles,Renseignements personnels,Chine
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Renseignements sur un enfant de moins de 18 ans,Hautement sensibles,Renseignements personnels,Amérique centrale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Renseignements sur un enfant de moins de 18 ans,Hautement sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Nationalité,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Affiliation politique,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Allégeance politique ou adhésion à un groupe d’intérêts communs,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Croyances religieuses ou autres,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Orientation sexuelle,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Adhésion syndicale,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Citoyenneté,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Statut de citoyen,Hautement sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Pays de naissance,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Pays de résidence,Sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Sexe,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,Sexe,Sensibles,Renseignements personnels,Afrique du Sud
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,État matrimonial,Hautement sensibles,Renseignements personnels,Mondiale
French,Tous les domaines,Caractéristiques particulières liées aux renseignements personnels,État matrimonial ou antécédents matrimoniaux,Sensibles,Renseignements personnels,Afrique du Sud
French,Expérience numérique des associés,Comité consultatif sur les changements,Périodes de restriction normales ou planifiées,Sensibles,Renseignements commerciaux,Mondiale
French,Expérience numérique des associés,Comité consultatif sur les changements,Périodes de restriction d’urgence,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Compagnie,Renseignements sur l’emploi,Réponses au sondage sur l’engagement des associés (anonymes),Hautement sensibles,Renseignements commerciaux,Mondiale
French,Compagnie,Renseignements sur l’emploi,Réponses anonymes au sondage ,Sensibles,Renseignements commerciaux,Mondiale
French,Compagnie,Renseignements sur l’emploi,Journaux des heures d’entrée et de sortie,Hautement sensibles,Renseignements personnels,Canada
French,Compagnie,Renseignements sur l’emploi,Journaux des heures d’entrée et de sortie,Sensibles,Renseignements personnels,Mondiale
French,Compagnie,Renseignements institutionnels exclusifs,Informations sur les réunions du conseil d’administration,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Compagnie,Renseignements institutionnels exclusifs,Présence à une réunion (si aucun renseignement personnel n’est requis),Non sensibles,Renseignements commerciaux,Afrique du Sud
French,Commerce électronique,Renseignements institutionnels exclusifs,Données relatives à la sécurité informatique,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Commerce électronique,Renseignements institutionnels exclusifs,Données d’accès; codes ou numéros de compte， ou détails,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Fermé / Consolidation,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Rapports,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Contrôles et vérification,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Analyse du bilan,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Analyse des profits et pertes,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Rapprochements,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Directive,Sensibles,Renseignements commerciaux,Mondiale
French,Finances,Contrôle financier,Évaluations des risques liés au bilan ,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Finances du segment des grandes entreprises,Planification,Hautement sensibles,Renseignements commerciaux,Mondiale
French,Finances,Finances du segment des grandes entreprises,Prévisions， fermetures et rapports,Hautement sensibles,Renseignements commerciaux,Mondiale
