Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
NORTH BU,53 - WISCONSIN,439,1430,12.4%,15.2%,-1.7%,11.4%,0:25:45,0:21:48,0:41:57,0:40:57,0:36:57,0:28:07,59.1%,62.4%,-5.8%,-28.9%,20.8%,13.5%,1.5%,17.9%,"2,302","1,480"
WEST BU,52 - MN IA,418,1431,10.3%,-3.1%,3.0%,-2.4%,0:19:24,0:20:06,0:37:31,0:35:43,0:24:30,0:22:51,66.7%,67.2%,-24.1%,-48.1%,17.6%,-4.8%,2.5%,-2.3%,"1,411","1,953"
NORTH BU,"19 - Michigan, OH",204,1432,12.3%,13.1%,-5.6%,6.0%,0:18:12,0:17:21,0:31:50,0:30:45,0:26:13,0:24:32,64.4%,70.3%,-43.3%,-62.8%,21.0%,17.2%,-5.7%,8.1%,890,608
NORTH BU,21 - OH/IN,222,1433,15.7%,24.7%,2.5%,15.3%,0:11:43,0:10:17,0:25:08,0:22:58,0:13:32,0:12:36,75.0%,75.1%,19.7%,31.3%,13.9%,25.9%,1.5%,13.6%,388,101
WEST BU,54 - Rocky Mountain,391,1434,0.0%,-1.0%,7.0%,10.2%,0:10:28,0:09:17,0:36:05,0:33:04,0:21:30,0:20:37,94.9%,95.7%,-59.3%,-24.2%,-15.6%,-16.7%,12.7%,20.1%,984,729
WEST BU,52 - MN IA,413,1435,39.0%,21.7%,16.7%,9.3%,0:16:02,0:16:09,0:24:37,0:24:53,0:21:34,0:22:53,60.4%,66.4%,156.8%,78.4%,55.1%,18.7%,14.4%,5.9%,765,876
WEST BU,47 - Frontier,406,1437,-0.1%,1.8%,-2.3%,0.2%,0:25:01,0:22:34,0:24:21,0:23:26,0:14:38,0:16:24,35.7%,43.6%,-39.9%,-52.7%,-1.5%,0.2%,3.5%,5.4%,"2,310","2,103"
WEST BU,57 - LA Vegas HI,405,1438,-11.1%,-6.3%,-20.3%,-12.5%,0:45:24,0:38:42,0:37:51,0:35:16,0:23:57,0:21:45,26.1%,36.7%,-24.9%,19.2%,-9.2%,-4.6%,-23.0%,-13.2%,"2,321","2,091"
WEST BU,57 - LA Vegas HI,405,1439,8.8%,15.3%,5.8%,22.2%,0:23:59,0:23:21,0:39:53,0:36:35,0:24:05,0:23:04,67.8%,67.6%,12.4%,40.7%,4.2%,13.9%,12.1%,18.7%,939,353
WEST BU,54 - Rocky Mountain,403,1440,-2.9%,-3.9%,-4.4%,1.5%,0:26:08,0:22:44,0:37:44,0:34:14,0:14:57,0:14:16,88.1%,92.5%,-30.1%,-40.2%,-17.2%,-13.6%,-2.0%,3.0%,"1,166",911
NORTH BU,21 - OH/IN,221,1441,-3.1%,4.8%,-9.0%,0.0%,0:34:28,0:36:50,0:42:12,0:40:43,0:34:50,0:32:44,44.8%,42.8%,-47.6%,59.0%,-3.7%,-0.6%,-2.3%,2.9%,"2,564","2,493"
WEST BU,57 - LA Vegas HI,405,1442,6.4%,11.4%,8.0%,11.7%,0:22:32,0:18:48,0:31:16,0:29:21,0:23:20,0:20:55,63.9%,69.7%,-14.9%,-25.6%,2.2%,9.3%,9.2%,11.0%,"1,412",571
NORTH BU,21 - OH/IN,221,1443,19.5%,24.2%,26.6%,33.7%,0:18:32,0:19:48,0:24:07,0:22:12,0:23:14,0:22:59,58.6%,57.1%,-61.4%,10.3%,14.8%,24.0%,28.5%,25.2%,943,623
SOUTHEAST BU,"03 - GA, FL",98,1444,16.1%,7.1%,23.1%,20.0%,0:27:05,0:29:04,0:32:17,0:33:10,0:21:57,0:21:13,49.1%,45.1%,20.0%,-45.8%,4.6%,-2.1%,38.9%,32.4%,332,750
NORTH BU,"19 - Michigan, OH",213,1445,13.7%,7.9%,5.8%,8.2%,0:21:00,0:17:59,0:37:03,0:33:34,0:34:18,0:32:13,68.1%,73.0%,14.6%,18.2%,29.3%,8.6%,11.8%,12.1%,"1,257","1,442"
NORTH BU,53 - WISCONSIN,436,1446,-14.7%,-5.6%,-20.5%,-18.2%,0:19:38,0:21:36,0:39:00,0:42:04,0:30:26,0:32:03,62.9%,57.2%,-71.7%,-64.4%,-15.8%,-8.7%,-22.2%,-24.3%,"2,528","2,547"
WEST BU,52 - MN IA,419,1447,9.2%,15.3%,9.1%,9.2%,0:18:21,0:22:31,0:21:38,0:23:12,0:06:43,0:06:34,49.7%,42.7%,138.2%,-17.9%,8.9%,11.7%,27.8%,21.0%,632,864
NORTH BU,"19 - Michigan, OH",213,1448,-5.8%,-4.5%,-13.8%,-11.7%,0:29:41,0:23:20,0:41:08,0:44:22,0:37:12,0:35:19,49.3%,57.9%,-42.9%,-45.6%,-1.2%,-4.6%,-12.5%,-10.8%,"2,491","2,428"
NORTH BU,"20 - VA, OH, PA, WV",316,1450,5.7%,3.0%,-9.3%,6.1%,0:16:30,0:18:23,0:23:56,0:24:55,0:25:18,0:26:03,78.0%,71.7%,-6.2%,28.6%,7.9%,-0.3%,-37.5%,-2.3%,918,831
NORTH BU,53 - WISCONSIN,440,1453,-6.5%,-2.4%,-19.0%,-13.3%,0:17:48,0:23:51,0:32:00,0:39:08,0:31:54,0:33:10,61.9%,53.5%,-64.0%,-70.6%,-15.7%,-4.4%,-17.2%,-10.7%,"2,138","2,254"
NORTH BU,25 - Chicago / IL,275,1454,26.3%,7.4%,23.3%,6.3%,0:26:33,0:25:45,0:24:48,0:25:49,0:23:07,0:21:39,53.1%,58.1%,216.0%,71.8%,16.5%,-3.9%,29.0%,19.6%,567,"1,036"
SOUTHWEST BU,05 - Dallas,44,1455,9.0%,6.3%,5.4%,4.8%,0:25:20,0:24:16,0:27:57,0:25:48,0:13:14,0:13:34,65.5%,65.4%,-34.0%,-44.2%,11.5%,-4.0%,4.8%,6.3%,500,408
WEST BU,47 - Frontier,381,1456,13.0%,7.8%,9.3%,7.6%,0:07:34,0:08:15,0:37:25,0:38:21,0:26:12,0:26:47,88.7%,91.8%,199.7%,62.3%,6.9%,2.9%,13.3%,7.6%,"1,162","1,234"
WEST BU,47 - Frontier,381,1457,-6.7%,-6.6%,-26.2%,-20.5%,0:09:50,0:10:21,0:31:59,0:31:34,0:22:59,0:25:01,75.4%,73.0%,-65.7%,-37.3%,-12.2%,-11.6%,-22.6%,-16.2%,"2,126","2,140"
SOUTHEAST BU,12 - Nashville,120,1458,2.8%,-2.3%,4.6%,2.0%,0:34:53,0:33:36,0:39:43,0:36:02,0:37:48,0:34:33,36.7%,35.6%,-40.9%,-27.8%,0.9%,-6.3%,2.5%,0.7%,"2,285","2,315"
NORTH BU,41 - Indy / KY,249,1459,5.0%,2.9%,-22.4%,-27.5%,0:11:52,0:11:31,0:29:21,0:32:02,0:24:51,0:24:10,70.0%,73.5%,-11.7%,-26.5%,16.1%,21.3%,-35.7%,-37.4%,"1,732","1,810"
WEST BU,47 - Frontier,433,1460,8.1%,5.5%,4.6%,2.9%,0:18:41,0:19:04,0:39:31,0:34:10,0:24:19,0:24:40,79.8%,79.4%,-31.0%,-23.6%,7.5%,-5.9%,14.2%,10.5%,"1,474","1,305"
WEST BU,47 - Frontier,381,1461,6.0%,9.6%,-0.5%,-4.0%,0:13:25,0:14:06,0:36:18,0:38:25,0:25:16,0:27:39,93.3%,93.5%,-14.4%,-24.6%,15.9%,15.5%,5.3%,-4.2%,949,"1,054"
SOUTHEAST BU,"14 - AL, FL",7,1462,0.0%,11.9%,-3.5%,4.0%,0:21:58,0:23:49,0:23:25,0:23:37,0:23:54,0:23:07,65.5%,52.8%,24.5%,60.0%,-15.5%,6.7%,-5.1%,-2.2%,"2,272","1,961"
NORTH BU,21 - OH/IN,223,1463,-7.4%,-4.3%,-6.5%,-5.1%,0:30:57,0:36:07,0:36:57,0:33:05,0:24:23,0:23:55,32.5%,24.4%,63.3%,14.0%,-10.1%,-6.7%,-3.6%,-4.9%,"2,415","2,363"
EAST BU,26 - North Carolina,305,1464,29.0%,13.9%,29.8%,19.2%,0:27:21,0:24:14,0:28:04,0:29:04,0:20:34,0:20:23,51.6%,52.5%,-63.9%,-76.0%,23.6%,12.5%,34.4%,24.5%,423,517
EAST BU,"75 - VA, MD",314,1465,26.3%,16.1%,4.4%,7.0%,0:32:29,0:30:15,0:26:03,0:27:31,0:20:00,0:20:38,39.7%,51.2%,-53.3%,-60.7%,36.7%,22.0%,3.0%,2.5%,941,726
SOUTHEAST BU,12 - Nashville,122,1466,-4.8%,-1.8%,1.7%,0.5%,0:22:54,0:22:41,0:21:05,0:22:16,0:17:25,0:16:49,70.9%,67.6%,-66.5%,-45.5%,0.4%,-4.0%,-8.6%,-1.8%,"1,934","1,857"
SOUTHEAST BU,11 - Memphis,136,1468,-1.4%,6.0%,7.7%,11.3%,0:15:38,0:16:52,0:15:51,0:17:02,0:16:25,0:17:14,65.4%,69.2%,48.2%,35.4%,5.0%,6.3%,24.0%,18.3%,678,209
SOUTHEAST BU,12 - Nashville,119,1469,-6.8%,-5.3%,-13.3%,-14.1%,0:32:12,0:32:03,0:29:46,0:31:00,0:26:00,0:29:01,37.0%,34.1%,-66.2%,-59.1%,-4.3%,0.7%,-14.6%,-18.8%,"2,557","2,561"
WEST BU,52 - MN IA,423,1472,16.4%,13.0%,7.5%,16.7%,0:01:13,0:01:23,0:20:13,0:21:25,0:12:23,0:13:58,100.0%,100.0%,-8.9%,11.3%,17.1%,2.3%,13.3%,19.4%,262,225
WEST BU,58 - S CA W AZ,365,1474,2.1%,-15.6%,2.9%,-12.3%,0:28:26,0:31:55,0:43:48,0:45:57,0:40:03,0:39:46,99.3%,98.9%,-55.5%,-48.9%,0.6%,-18.7%,5.4%,-9.1%,"1,055","1,675"
NORTH BU,41 - Indy / KY,243,1476,23.5%,10.2%,21.1%,10.7%,0:29:35,0:31:26,0:28:12,0:27:56,0:23:54,0:24:03,32.2%,33.3%,-63.1%,-31.6%,24.9%,11.3%,21.3%,11.4%,679,"1,070"
NORTH BU,"19 - Michigan, OH",238,1479,-4.8%,2.7%,2.1%,3.5%,0:24:40,0:23:32,0:29:01,0:29:16,0:25:16,0:24:38,59.1%,60.6%,-66.9%,-71.6%,-6.2%,-3.1%,10.1%,4.1%,"2,133","1,676"
NORTH BU,21 - OH/IN,239,1480,17.5%,13.6%,-3.9%,19.6%,0:17:47,0:20:00,0:28:16,0:27:17,0:19:46,0:19:52,53.8%,54.8%,4.5%,34.4%,18.3%,10.0%,-2.3%,30.6%,"1,590","1,344"
WEST BU,47 - Frontier,430,1483,3.6%,5.0%,1.0%,6.1%,0:35:48,0:38:57,0:38:24,0:40:21,0:22:43,0:24:17,45.3%,49.8%,-16.2%,1.7%,-0.3%,-9.0%,2.4%,11.8%,"2,422","2,397"
WEST BU,47 - Frontier,382,1485,12.4%,13.9%,-4.8%,4.7%,0:28:16,0:21:00,0:31:26,0:30:32,0:36:17,0:35:35,50.8%,68.6%,-62.5%,-53.5%,5.3%,9.7%,-14.0%,5.5%,"2,301","1,613"
EAST BU,"75 - VA, MD",314,1486,1.4%,-11.7%,0.7%,-19.3%,0:27:09,0:27:05,0:27:51,0:27:50,0:25:44,0:24:08,62.1%,58.3%,-52.1%,-41.3%,9.1%,-9.0%,-5.9%,-25.8%,"1,588","2,238"
NORTH BU,"19 - Michigan, OH",238,1487,23.2%,19.5%,26.8%,37.1%,0:19:50,0:19:40,0:26:51,0:28:11,0:25:44,0:25:17,61.7%,59.6%,1.0%,4.6%,33.1%,13.6%,25.2%,66.5%,766,592
SOUTHEAST BU,02 - Atlanta GA,22,1488,25.3%,38.7%,34.2%,50.4%,0:21:37,0:21:20,0:30:11,0:27:26,0:19:54,0:18:36,57.9%,57.6%,68.5%,105.9%,31.1%,51.0%,49.1%,54.4%,184,150
NORTH BU,53 - WISCONSIN,263,1490,-2.6%,-8.7%,-12.1%,-10.1%,0:17:38,0:24:47,0:38:20,0:36:55,0:27:09,0:27:22,59.6%,54.9%,-75.9%,-65.5%,18.5%,-8.0%,-11.1%,-7.9%,"2,350","2,501"
WEST BU,52 - MN IA,413,1491,-2.5%,1.1%,0.4%,-0.3%,0:12:38,0:13:44,0:23:26,0:25:39,0:19:07,0:20:02,71.2%,77.4%,-33.0%,-30.1%,-5.7%,-1.7%,-3.7%,-3.0%,"1,926","1,603"
SOUTHWEST BU,06 - South Texas,78,1494,11.1%,11.0%,16.8%,11.6%,0:23:58,0:33:13,0:35:33,0:37:41,0:21:11,0:22:44,56.6%,49.3%,-9.8%,-23.9%,12.7%,9.2%,8.6%,5.1%,173,336
NORTH BU,21 - OH/IN,223,1495,3.8%,9.6%,5.8%,15.7%,0:19:55,0:24:48,0:30:28,0:32:27,0:21:00,0:24:06,61.1%,52.8%,-45.5%,-4.3%,-9.0%,0.9%,6.1%,11.7%,"1,388","1,110"
NORTH BU,"20 - VA, OH, PA, WV",317,1499,4.7%,-3.6%,4.3%,-0.5%,0:32:18,0:32:30,0:30:06,0:28:40,0:26:23,0:28:44,49.0%,45.0%,24.2%,-12.9%,-0.2%,-3.5%,2.8%,-1.9%,912,"1,746"
WEST BU,47 - Frontier,430,1500,13.1%,13.3%,12.0%,13.4%,0:14:42,0:15:25,0:44:04,0:45:05,0:29:41,0:30:43,72.8%,73.9%,0.5%,-10.6%,5.2%,4.7%,11.4%,11.7%,764,672
EAST BU,26 - North Carolina,301,1502,-7.1%,-13.3%,0.8%,-6.0%,0:29:02,0:23:07,0:27:51,0:21:29,0:16:10,0:16:20,54.7%,54.7%,-65.6%,-74.7%,-18.8%,-23.8%,11.2%,0.7%,"2,476","2,427"
NORTH BU,21 - OH/IN,223,1503,35.3%,13.3%,24.6%,19.2%,0:27:04,0:24:01,0:31:00,0:32:19,0:31:42,0:30:33,30.0%,38.7%,342.6%,231.5%,59.8%,11.5%,8.9%,16.6%,"1,280","1,372"
NORTH BU,"20 - VA, OH, PA, WV",258,1505,9.5%,11.6%,5.8%,4.0%,0:33:32,0:45:03,0:25:30,0:30:22,0:16:59,0:19:28,53.8%,42.9%,-81.4%,-52.4%,10.9%,13.3%,2.4%,3.9%,908,"1,168"
SOUTHWEST BU,"44 - Oklahoma, N TX",409,1507,10.9%,5.3%,8.5%,3.6%,0:39:43,0:47:52,0:41:09,0:41:44,0:35:34,0:34:42,24.9%,22.5%,-64.2%,-56.7%,31.0%,3.5%,4.0%,4.2%,"2,129","2,307"
NORTH BU,21 - OH/IN,225,1510,5.6%,12.2%,9.4%,16.4%,0:25:03,0:25:06,0:19:22,0:19:52,0:17:02,0:17:29,41.3%,45.0%,44.4%,50.4%,0.5%,11.0%,18.2%,18.4%,956,467
NORTH BU,40 - Missouri,340,1514,5.9%,-2.0%,12.3%,0.2%,0:35:12,0:35:29,0:38:22,0:38:54,0:32:29,0:33:09,48.3%,50.6%,-24.2%,-21.9%,3.3%,-4.6%,17.8%,5.9%,"1,108","2,055"
NORTH BU,53 - WISCONSIN,442,1515,13.1%,14.8%,4.5%,11.4%,0:20:39,0:21:45,0:15:51,0:19:37,0:28:04,0:27:29,48.1%,49.8%,-5.8%,5.8%,12.9%,11.5%,25.2%,24.3%,879,555
SOUTHWEST BU,07 - W TX / N NM,70,1516,-0.7%,-1.6%,-11.0%,-8.7%,0:32:04,0:23:58,0:31:00,0:27:50,0:24:05,0:22:01,32.8%,45.5%,28.4%,-15.9%,5.9%,-0.8%,-17.0%,-13.2%,"2,438","2,282"
NORTH BU,41 - Indy / KY,482,1518,12.5%,10.4%,21.2%,12.1%,0:22:59,0:19:26,0:37:57,0:37:12,0:36:21,0:36:55,46.7%,49.6%,-39.4%,40.9%,19.7%,0.4%,28.8%,18.5%,"1,794","1,635"
NORTH BU,21 - OH/IN,218,1519,-2.9%,1.6%,-3.1%,-1.4%,0:28:37,0:31:41,0:20:20,0:23:12,0:17:57,0:19:15,54.1%,49.4%,-3.2%,-61.1%,-1.3%,8.2%,-2.2%,-2.9%,"1,833","1,837"
WEST BU,47 - Frontier,430,1520,5.4%,28.5%,27.1%,36.3%,0:08:34,0:07:41,0:36:40,0:37:03,0:28:05,0:29:36,78.2%,83.7%,187.5%,266.5%,-5.1%,15.8%,50.0%,55.3%,"1,264",404
NORTH BU,21 - OH/IN,225,1521,23.5%,7.6%,31.2%,8.7%,0:52:01,0:51:22,0:25:39,0:28:47,0:37:34,0:37:25,12.8%,14.7%,12.6%,-32.2%,28.2%,9.4%,29.7%,14.4%,"1,946","2,304"
EAST BU,"75 - VA, MD",287,1525,-5.6%,-3.2%,-16.7%,-1.8%,0:29:54,0:24:41,0:37:19,0:33:15,0:22:58,0:20:55,38.6%,43.4%,-31.4%,-36.4%,-7.5%,-3.5%,-12.3%,-0.1%,"2,545","2,388"
WEST BU,52 - MN IA,426,1526,6.3%,7.9%,12.3%,9.5%,0:12:57,0:12:22,0:25:14,0:26:37,0:22:40,0:22:32,67.4%,72.9%,47.3%,74.7%,22.1%,3.5%,9.8%,8.3%,"1,694","1,417"
EAST BU,26 - North Carolina,301,1527,6.8%,9.9%,2.3%,10.0%,0:44:32,0:50:39,0:32:40,0:32:48,0:29:03,0:29:59,33.9%,28.4%,-61.1%,-26.2%,8.2%,8.4%,18.0%,33.4%,"1,451","1,325"
SOUTHEAST BU,11 - Memphis,136,1530,4.3%,5.4%,11.4%,13.6%,0:20:51,0:25:11,0:35:12,0:41:29,0:34:28,0:37:08,67.7%,50.0%,-56.5%,-29.2%,2.4%,6.4%,15.7%,16.2%,"1,723","1,949"
SOUTHWEST BU,46 - Phoenix,369,1533,-1.1%,-4.1%,7.2%,6.7%,0:32:21,0:37:16,0:42:05,0:40:07,0:22:32,0:20:01,62.3%,44.6%,27.0%,-9.7%,-17.4%,-17.8%,22.1%,20.2%,849,"1,420"
WEST BU,47 - Frontier,427,1534,6.2%,5.8%,-5.9%,-2.5%,0:15:20,0:15:48,0:29:13,0:28:32,0:15:13,0:15:27,64.5%,70.6%,-26.0%,-26.8%,2.9%,-7.0%,-3.5%,1.0%,663,629
WEST BU,47 - Frontier,430,1535,0.0%,7.2%,7.5%,16.7%,0:19:47,0:21:13,0:36:24,0:33:44,0:33:51,0:32:50,69.0%,62.7%,-21.4%,-10.2%,-4.1%,-0.5%,19.1%,19.6%,"1,907","1,428"
WEST BU,47 - Frontier,430,1538,-6.7%,4.1%,-2.2%,-1.8%,0:16:04,0:17:25,0:50:20,0:42:18,0:25:42,0:27:06,71.1%,68.6%,-23.8%,-31.9%,-11.9%,-5.3%,-4.1%,-11.3%,"2,248","2,013"
NORTH BU,"19 - Michigan, OH",213,1539,5.9%,4.6%,12.2%,7.8%,0:14:08,0:14:33,0:20:38,0:20:43,0:18:22,0:17:52,70.3%,68.8%,54.5%,14.9%,-1.2%,-6.2%,11.7%,13.5%,495,701
NORTH BU,"19 - Michigan, OH",201,1540,5.9%,6.9%,3.7%,8.5%,0:26:38,0:24:32,0:32:03,0:32:39,0:24:48,0:24:01,52.8%,53.0%,-60.4%,-54.3%,0.9%,5.6%,15.8%,9.9%,"2,356","2,097"
SOUTHEAST BU,09 - S. Florida,107,1541,3.7%,0.5%,14.6%,8.4%,0:23:34,0:25:32,0:24:09,0:22:42,0:21:41,0:21:56,53.9%,50.3%,-49.0%,-87.6%,12.2%,9.3%,-1.5%,0.5%,250,479
NORTH BU,53 - WISCONSIN,196,1542,-3.6%,3.2%,-5.8%,3.5%,0:22:58,0:22:05,0:43:13,0:42:23,0:27:58,0:28:07,55.0%,58.0%,-32.9%,-37.1%,-13.3%,-2.0%,-4.1%,7.2%,"2,427","2,214"
WEST BU,47 - Frontier,429,1543,-9.7%,-8.2%,-7.1%,-4.2%,0:05:48,0:06:16,0:37:11,0:39:12,0:26:08,0:27:34,93.3%,92.8%,-27.7%,-50.0%,-21.2%,-19.1%,-5.3%,-2.2%,"1,398","1,664"
EAST BU,"76 - West NY, PA, VA & DC",320,1544,-0.6%,0.5%,6.3%,11.0%,0:28:08,0:26:36,0:26:42,0:25:57,0:20:42,0:22:33,53.2%,53.5%,4.3%,-12.7%,-10.0%,-6.5%,20.4%,27.1%,"1,333","1,072"
WEST BU,52 - MN IA,412,1545,-4.8%,9.2%,14.4%,25.7%,0:09:29,0:08:57,0:32:04,0:32:58,0:26:35,0:24:43,82.8%,85.9%,52.1%,71.6%,-4.1%,-10.0%,24.4%,34.5%,"1,858",904
NORTH BU,21 - OH/IN,246,1547,17.7%,3.7%,-3.6%,-5.0%,0:22:37,0:20:37,0:23:38,0:24:46,0:21:49,0:22:10,54.6%,59.2%,16.4%,-19.6%,33.8%,9.5%,-7.1%,-4.4%,"1,497","1,962"
SOUTHWEST BU,46 - Phoenix,368,1549,1.3%,-9.1%,-21.1%,-23.5%,0:32:52,0:29:03,0:35:32,0:34:45,0:16:15,0:16:38,72.2%,72.9%,-52.5%,-49.0%,12.1%,-3.2%,-26.3%,-27.7%,"1,549","1,877"
EAST BU,26 - North Carolina,308,1552,18.5%,2.8%,15.6%,11.3%,0:06:55,0:08:02,0:20:55,0:23:19,0:14:53,0:15:31,89.5%,85.7%,-28.1%,-46.9%,23.7%,-1.7%,9.8%,10.8%,87,440
WEST BU,56 - N CA N NV,452,1554,11.2%,11.8%,21.1%,16.9%,0:16:01,0:19:31,0:34:32,0:40:12,0:16:26,0:17:56,91.6%,87.5%,206.6%,181.3%,0.4%,16.5%,24.5%,15.3%,2,3
WEST BU,58 - S CA W AZ,463,1555,-1.3%,-3.3%,6.9%,1.5%,0:28:59,0:27:30,0:42:18,0:37:28,0:17:31,0:17:51,95.7%,95.7%,-30.5%,-28.3%,-13.4%,-9.7%,12.0%,4.0%,356,313
NORTH BU,41 - Indy / KY,482,1557,13.6%,6.9%,4.4%,2.5%,0:29:08,0:31:53,0:32:48,0:35:36,0:26:25,0:30:05,42.9%,42.1%,77.6%,-0.8%,24.9%,7.5%,-6.3%,-1.2%,"2,046","2,384"
EAST BU,26 - North Carolina,298,1558,12.1%,16.9%,18.0%,20.1%,0:20:30,0:21:31,0:32:14,0:37:04,0:25:57,0:28:20,62.1%,57.4%,-21.9%,-5.8%,13.4%,14.3%,25.6%,22.7%,"1,744","1,778"
WEST BU,57 - LA Vegas HI,396,1560,7.0%,2.7%,8.5%,4.7%,0:23:55,0:25:37,0:35:19,0:40:49,0:20:26,0:20:39,62.4%,58.4%,118.9%,16.6%,-9.8%,-10.0%,22.6%,20.9%,217,580
SOUTHEAST BU,11 - Memphis,145,1561,67.3%,-8.8%,8.5%,-43.5%,0:17:25,0:18:48,0:16:13,0:18:27,0:17:53,0:17:57,51.8%,46.3%,-71.9%,-54.2%,22.3%,-24.4%,8.3%,-43.0%,"1,625","2,522"
WEST BU,57 - LA Vegas HI,448,1563,2.6%,3.2%,17.6%,10.4%,0:15:08,0:17:20,0:31:05,0:31:44,0:18:33,0:19:46,74.7%,71.8%,-30.8%,-34.6%,9.9%,8.0%,13.7%,8.6%,205,170
NORTH BU,21 - OH/IN,218,1564,4.6%,4.6%,0.4%,4.5%,0:37:58,0:35:05,0:29:03,0:31:31,0:23:57,0:24:04,38.4%,41.1%,-42.2%,-46.9%,3.6%,7.2%,-1.7%,4.3%,"2,199","2,125"
WEST BU,47 - Frontier,382,1565,-17.8%,-7.7%,-29.6%,-18.5%,1:05:15,0:57:28,0:19:59,0:22:06,0:13:14,0:16:18,8.4%,11.2%,-63.0%,-50.6%,-21.9%,-17.6%,-23.3%,-8.9%,"2,279","2,198"
NORTH BU,21 - OH/IN,247,1566,18.9%,17.2%,-0.8%,-1.0%,0:27:01,0:27:25,0:35:46,0:37:20,0:30:34,0:30:36,54.3%,46.9%,-6.5%,0.5%,27.5%,34.0%,-16.2%,-10.4%,"2,007","2,223"
WEST BU,47 - Frontier,382,1567,-8.9%,4.7%,-15.8%,-4.1%,0:37:59,0:35:19,0:48:27,0:54:11,0:34:48,0:37:00,41.2%,47.1%,-52.8%,-64.8%,-13.1%,-4.7%,-21.1%,-6.9%,"2,567","2,477"
NORTH BU,"20 - VA, OH, PA, WV",229,1568,15.9%,10.6%,3.5%,13.2%,0:16:37,0:18:26,0:30:24,0:26:45,0:27:41,0:26:09,70.6%,70.3%,-1.2%,-6.1%,17.2%,8.8%,-2.0%,17.5%,453,280
NORTH BU,21 - OH/IN,259,1569,17.3%,3.1%,4.3%,3.7%,0:24:30,0:23:28,0:24:35,0:25:12,0:19:43,0:19:32,56.3%,64.2%,-26.8%,-5.3%,22.6%,-0.4%,0.7%,10.7%,920,"1,143"
NORTH BU,21 - OH/IN,248,1570,1.4%,5.7%,3.0%,4.1%,0:17:12,0:22:27,0:35:50,0:39:59,0:21:18,0:22:53,63.3%,61.8%,18.6%,25.6%,1.0%,3.4%,1.3%,3.4%,"1,521","1,538"
NORTH BU,53 - WISCONSIN,435,1571,13.1%,12.7%,18.3%,14.5%,0:21:56,0:19:36,0:42:34,0:39:56,0:29:27,0:27:22,75.0%,69.3%,53.2%,33.6%,10.6%,4.1%,40.2%,33.8%,857,965
WEST BU,54 - Rocky Mountain,582,1572,18.6%,13.5%,15.3%,10.6%,0:24:43,0:22:47,0:41:00,0:43:17,0:25:53,0:24:13,63.6%,65.4%,89.1%,47.4%,26.0%,13.9%,0.2%,2.9%,933,929
WEST BU,57 - LA Vegas HI,405,1573,20.7%,15.7%,6.1%,4.8%,0:25:45,0:24:38,0:39:36,0:39:14,0:24:53,0:23:49,61.7%,64.3%,29.4%,-26.2%,34.3%,25.7%,0.5%,2.2%,"1,531","1,569"
WEST BU,52 - MN IA,424,1577,33.6%,30.5%,35.0%,33.6%,0:10:21,0:11:24,0:37:23,0:38:53,0:27:19,0:25:17,88.6%,86.6%,-4.1%,-8.6%,43.7%,25.3%,36.1%,40.7%,438,678
SOUTHEAST BU,02 - Atlanta GA,24,1578,24.3%,19.6%,0.1%,9.6%,0:43:27,0:37:02,0:29:43,0:29:58,0:20:41,0:22:26,19.8%,29.3%,-49.8%,-45.1%,37.2%,24.9%,-7.0%,7.5%,"1,500","1,392"
NORTH BU,41 - Indy / KY,249,1580,6.3%,8.8%,-4.3%,-0.5%,0:27:03,0:31:27,0:37:08,0:36:16,0:31:00,0:32:39,66.1%,62.6%,19.0%,25.9%,14.5%,25.8%,-6.5%,-5.3%,"2,195","2,073"
WEST BU,47 - Frontier,427,1581,10.4%,11.9%,8.8%,2.0%,0:26:13,0:28:26,0:31:17,0:30:36,0:29:35,0:29:48,54.3%,50.9%,-36.4%,-56.1%,2.6%,3.3%,22.2%,9.7%,"1,104","1,358"
SOUTHEAST BU,02 - Atlanta GA,26,1586,22.8%,7.0%,18.5%,2.8%,0:34:20,0:37:44,0:33:25,0:34:59,0:21:04,0:21:03,42.9%,36.4%,-82.3%,-51.6%,38.0%,11.3%,16.4%,-0.8%,543,"1,826"
WEST BU,58 - S CA W AZ,445,1588,7.5%,6.3%,13.9%,12.6%,0:30:43,0:31:20,0:50:12,0:48:00,0:31:44,0:30:30,91.8%,90.8%,24.2%,44.7%,2.3%,3.1%,23.7%,18.8%,310,245
SOUTHEAST BU,09 - S. Florida,553,1590,4.2%,8.6%,41.4%,26.8%,0:38:06,0:31:44,0:23:52,0:25:20,0:24:57,0:24:00,22.0%,24.9%,-60.3%,-65.0%,-8.3%,2.7%,86.7%,48.5%,"1,336",982
NORTH BU,"19 - Michigan, OH",205,1592,2.7%,5.6%,7.1%,4.4%,0:12:07,0:12:38,0:31:39,0:33:35,0:13:49,0:14:01,78.2%,82.2%,-71.6%,-57.1%,-2.8%,0.3%,7.2%,2.6%,"1,459","1,380"
