Store Number,Serial Number,SIM Status,SIM Last Update,Acquisition Date,Manufacturer name,Model,Caliber,Firearm type,Notes,UPC
1794,KRA126696,Display Available,6/12/2022 8:33:21 PM,2022-05-17T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR YOUTH (D),20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",713780204246
1794,MPR0384939,Display Available,6/12/2022 8:34:36 PM,2022-06-01T12:00:00,MOSSBERG,PATRIOT YOUTH (D),243 WIN,RIFLE,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",015813278706
1794,MV0823637,Display Available,6/12/2022 8:34:16 PM,2022-06-01T12:00:00,MAVERICK ARMS,88 YOUTH (D),20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",049533322029
1802,20A21000207,Backroom Available,1/26/2022 11:25:20 PM,2021-04-15T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
1809,20720,Display Available,6/21/2022 5:00:39 PM,2022-06-21T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,MARK II,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654207204
1810,20A16-108822,Do Not Sell,1/27/2019 3:29:05 PM,2017-02-08T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS (DO NOT SELL),20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"".  The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (DO NOT SELL). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",851799004836
1810,20P4101574,Display Available,10/8/2020 3:52:03 PM,2020-10-08T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II (DAMAGE DO NOT SELL),410,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (DO NOT SELL). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",713780986456
1810,211990U,Backroom Available,5/26/2022 4:21:00 PM,2022-05-26T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320 BLUE CAMO,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (CAMO). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356222473
1810,213320U,Display Available,5/2/2022 9:54:45 PM,2022-01-04T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320 CAMO,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (CAMO). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356222473
1810,21734XA,Backroom Available,6/7/2022 2:31:35 PM,2022-05-04T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320 YOUTH,20 GA,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356194985
1810,3109942,Do Not Sell,2/10/2019 7:35:27 PM,2018-02-22T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17 DAMAGED DO NOT SELL,17 HMR,RIFLE,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (DO NOT SELL). For details on how to correct, see Section C - A&D Log Correction.   This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654968020
1810,KRA093407,Backroom Available,3/1/2021 7:14:31 PM,2021-03-01T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR DAMAGED DO NOT SELL,12,SHOTGUN,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (DO NOT SELL). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",713780204123
1810,MN05551A,Do Not Sell,2/10/2019 7:36:16 PM,2017-08-02T12:00:00,THE MARLIN FIREARMS CO./MARLIN,60SB DAMAGED DO NOT SELL,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"".  The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (DO NOT SELL). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",026495076450
1813,20A17-002493,Do Not Sell,10/12/2018 9:25:54 PM,2017-10-03T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
1813,RB23967A,Do Not Sell,10/22/2018 5:43:24 PM,2018-07-27T12:00:00,MARLIN FIREARMS CO,XT,22 WMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495707835
1816,12A21013802,Backroom Available,4/18/2022 6:53:31 PM,2022-04-18T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
1816,20A21007277,Backroom Available,4/18/2022 6:54:25 PM,2022-04-18T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
1819,002098729,Backroom Available,5/16/2022 9:17:13 PM,2022-05-16T12:00:00,RUGER,10/22,.22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",736676011032
1819,20S21-00652,Backroom Available,4/25/2022 9:02:16 PM,2022-04-25T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1819,SR347355,Backroom Available,8/18/2020 6:09:13 PM,2012-11-19T12:00:00,BRAZTECH INTERNATIONAL (Brazil)/TAURUS,SINGLE SHOT,410 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",662205975011
1828,202397J,Do Not Sell,9/14/2021 3:44:48 PM,2020-11-12T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356222473
1828,MV0567965,Do Not Sell,9/14/2021 3:45:29 PM,2021-01-19T12:00:00,MAVERICK ARMS,88,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533310057
1829,12S21_007462,Display Available,2/7/2022 2:55:52 PM,2022-01-31T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
1829,20S21_005579,Display Available,2/7/2022 2:55:34 PM,2022-01-31T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1835,12A21012974,Backroom Available,5/2/2022 4:22:43 PM,2022-05-02T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
1841,12A21009436,Backroom Available,12/10/2021 6:36:18 PM,2021-12-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
1841,12A21009748,Backroom Available,12/9/2021 5:40:47 PM,2021-12-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
1841,19PB3032,Do Not Sell,9/28/2020 3:58:06 PM,2019-09-25T12:00:00,ARMSAN (TURKEY)/TRISTAR,COBRA II,410 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986401
1850,RB50009A,Do Not Sell,4/27/2022 7:20:09 PM,2020-03-23T12:00:00,MARLIN FIREARMS CO,XT,22 WMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495707835
1850,S0S21-006365,Backroom Available,4/1/2022 10:17:35 PM,2022-04-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1856,H70011819,Do Not Sell,10/13/2018 2:13:21 PM,2018-09-02T12:00:00,"REMINGTON ARMS COMPANY, INC.",770,30-06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856339
1856,MPR0290115,Do Not Sell,3/9/2021 3:24:04 PM,2021-03-09T12:00:00,MOSSBERG,PATRIOT,30-06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813278690
1866,216263R,Invalid,10/14/2021 10:24:12 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",011356194985
1866,216264R,Do Not Sell,10/15/2021 11:23:04 AM,2021-10-14T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194985
1875,20S21-007062,Invalid,4/12/2022 8:01:18 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",851799004911
1875,410S21010411,Backroom Available,3/10/2022 6:12:17 PM,2022-03-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
1875,410S21-010411,Invalid,4/12/2022 7:59:01 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",851799004904
1875,D21M07808,Do Not Sell,5/24/2022 3:23:55 PM,2021-10-19T12:00:00,ARMSAN (TURKEY)/TRISTAR,VIPER G2,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986487
1883,H450361,Backroom Available,10/15/2018 11:28:31 PM,2012-01-10T12:00:00,SAVAGE ARMS INC.,10,243 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174536
1883,US000065K,Do Not Sell,5/25/2022 6:42:00 PM,2022-05-25T12:00:00,HENRY REPEATING ARMS,H002,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",619835002044
1885,410S21007479,Backroom Available,12/1/2021 5:27:15 PM,2021-12-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
1886,UM0017705,Do Not Sell,11/26/2019 3:42:10 PM,2019-04-12T12:00:00,Mossberg,835 ULTI-MAG,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813622356
1894,690-28785,Display Available,6/9/2020 6:27:49 PM,2012-08-02T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
1894,690-57117,Backroom Available,9/3/2019 1:45:24 AM,2012-11-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
1900,20S21003168,Backroom Available,9/7/2021 6:57:23 PM,2021-09-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1900,UM0013755,Do Not Sell,6/2/2020 1:22:49 PM,2019-01-10T12:00:00,Mossberg,835 ULTI-MAG,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813622356
1902,20S21-05559,Reserved,6/12/2022 6:11:40 PM,2022-02-03T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1902,28A21-001721,Do Not Sell,12/29/2021 10:24:32 PM,2021-05-03T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,28 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150827
1919,20P4102661,Do Not Sell,10/8/2021 12:12:34 PM,2020-11-02T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
1924,20S22000514,Backroom Available,5/9/2022 4:24:59 PM,2022-05-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1929,690-57535,Display Available,10/21/2018 3:19:20 PM,2012-11-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
1929,MV0481668,Do Not Sell,10/9/2020 6:58:11 PM,2020-07-15T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
1932,12A16-100237,Do Not Sell,11/22/2021 7:20:24 PM,2016-05-13T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
1932,20A16-104309,Do Not Sell,11/22/2021 7:19:50 PM,2016-09-13T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
1935,20S21006841,Backroom Available,2/14/2022 4:15:28 PM,2022-02-14T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1935,MV0654914,Do Not Sell,10/1/2021 8:36:44 PM,2021-06-28T12:00:00,MOSSBERG,MAVERICK MODEL 88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322005
1937,690-57558,Display Available,10/14/2018 3:05:59 PM,2012-11-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
1943,H695818,Display Available,10/21/2018 6:33:04 PM,2013-01-07T12:00:00,SAVAGE ARMS INC.,111 SYN,25-06 REM,RIFLE,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (SYN). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356177896
1948,20A21007275,Backroom Available,4/19/2022 4:33:19 PM,2022-04-19T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
1948,20S21006568,Backroom Available,4/19/2022 4:30:43 PM,2022-04-19T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1950,12A21014544,Backroom Available,6/20/2022 3:44:51 PM,2022-06-20T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
1954,3506822,Do Not Sell,10/15/2020 3:12:20 PM,2020-07-28T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,A22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654472251
1954,H70045824,Do Not Sell,11/12/2019 5:12:35 PM,2019-10-15T12:00:00,REMINGTON ARMS COMPANY,770,300 WIN MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856360
1954,V1149907,Do Not Sell,10/15/2020 3:12:36 PM,2020-06-16T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
1956,TL072861,Backroom Available,12/13/2019 10:15:41 PM,2009-11-11T12:00:00,REMINGTON ARMS COMPANY,L-87 SPORTSMAN,20 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700836485
1966,KRA058527,Do Not Sell,10/25/2018 6:36:17 PM,2018-08-31T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204123
1978,3540936,Do Not Sell,9/4/2020 3:59:57 PM,2020-08-14T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,A22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654472251
1981,12S21007070,Backroom Available,3/10/2022 4:57:44 PM,2022-03-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
1981,12S21007071,Backroom Available,3/10/2022 4:58:38 PM,2022-03-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
1981,20A21007894,Backroom Available,3/10/2022 4:54:32 PM,2022-03-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
1981,20A21007908,Backroom Available,3/10/2022 4:56:18 PM,2022-03-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
1981,20P4101827,Do Not Sell,10/29/2020 1:10:03 AM,2020-10-08T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
1981,410S22000221,Backroom Available,4/18/2022 4:13:24 PM,2022-04-18T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
1981,M71988998,Do Not Sell,10/20/2018 7:24:18 PM,2013-11-15T12:00:00,REMINGTON ARMS COMPANY,770,308 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856346
1981,V1140679,Do Not Sell,1/1/2021 12:03:56 AM,2020-08-27T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
1990,20S22000519,Backroom Available,5/5/2022 2:48:51 PM,2022-05-05T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
1990,690-24075,Display Available,6/17/2021 9:56:16 PM,2012-08-02T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
1993,20P4102580,Do Not Sell,1/10/2021 2:45:01 PM,2020-11-23T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
1995,21P4103963,Do Not Sell,5/24/2021 8:27:07 PM,2021-05-03T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
1995,V1136471,Do Not Sell,9/23/2020 1:49:19 PM,2020-04-07T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
1999,12A21000712,Backroom Available,4/16/2021 5:57:36 PM,2021-04-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
2000,20P4102582,Do Not Sell,12/9/2020 5:57:04 PM,2020-11-23T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
2004,KRA007172,Display Available,10/21/2018 3:22:33 PM,2012-10-04T12:00:00,KRAL/TRISTAR ARMS,RAPTOR,12 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",713780201283
2006,210963F,Do Not Sell,9/21/2021 7:07:51 PM,2021-06-18T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194947
2007,MV0542618,Do Not Sell,1/2/2021 4:55:37 AM,2020-11-17T12:00:00,MAVERICK ARMS,MAVERICK 88 YOUTH,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"".  The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (YOUTH). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",049533322029
2007,P311210,Backroom Available,1/28/2022 6:30:59 PM,2022-01-28T12:00:00,SAVAGE ARMS INC.,AXIS XP CAMO,6.5 CREEDMOOR,RIFLE,"The A&D Log entry for this serial number was updated at the store level to include additional information that could result in violation during ATF inspection (CAMO). For details on how to correct, see Section C - A&D Log Correction. Data updated 6/29/2022",011356571526
2010,690-57570,Reserved,5/15/2020 7:08:31 PM,2012-11-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
2019,410S20-005912,Do Not Sell,3/20/2021 6:15:34 PM,2020-10-15T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004904
2027,12A16-104144,Do Not Sell,10/13/2018 4:07:28 PM,2016-05-23T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
2027,12A16-112895,Do Not Sell,10/13/2018 4:09:14 PM,2016-11-18T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
2027,20P4102094,Do Not Sell,12/9/2020 4:15:00 PM,2020-11-27T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
2027,311MP22794,Display Available,10/13/2018 6:27:18 PM,2011-07-25T12:00:00,"FN HERSTAL/BACO, Inc",BAR,300 WSM,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",023614238287
2027,3508479,Do Not Sell,11/6/2020 9:54:39 PM,2020-10-15T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,MARK II,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654270000
2027,410S16-110785,Do Not Sell,10/13/2018 2:06:37 PM,2016-10-17T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004904
2027,ATR047730,Do Not Sell,10/13/2018 4:08:09 PM,2014-03-13T12:00:00,MOSSBERG,ATR,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813271882
2027,R801181,Do Not Sell,10/13/2018 4:09:38 PM,2006-08-17T12:00:00,Mossberg,500,410 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
2027,UM947800,Do Not Sell,10/13/2018 4:08:41 PM,2013-05-21T12:00:00,Mossberg,835 ULTI-MAG,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813622356
2035,690-65189,Backroom Available,3/16/2022 2:30:08 PM,2012-11-26T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
2046,MR01558F,Do Not Sell,10/20/2018 1:41:02 AM,2015-10-13T12:00:00,THE MARLIN FIREARMS CO.,336W,30/30 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495015107
2055,9600047,Do Not Sell,10/14/2018 6:58:45 PM,2009-05-26T12:00:00,AKKAR/CHIPPA,PUMP,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",092786367491
