Market,Store,LY Shrink %,FY23 Shrink Plan %
205,2693,-0.71%,-0.77%
205,2700,-1.15%,-1.45%
205,3632,-0.58%,-0.70%
205,3726,-0.68%,-0.79%
205,4243,-0.78%,-0.92%
206,2354,-1.92%,-2.24%
206,2618,-2.22%,-2.36%
206,2631,-1.70%,-2.07%
206,2692,-1.72%,-1.78%
206,2872,-1.58%,-1.70%
206,2873,-2.69%,-2.00%
206,3476,-1.86%,-1.99%
206,3487,-0.72%,-0.90%
206,4660,-1.18%,-1.31%
206,5761,-1.08%,-1.25%
206,5844,-1.13%,-1.50%
207,1416,-0.78%,-0.83%
207,1913,-0.99%,-1.11%
207,2191,-1.09%,-1.28%
207,2350,-0.95%,-0.96%
207,3445,-2.63%,-2.70%
207,4479,-1.25%,-1.35%
207,5028,-3.22%,-2.75%
207,5029,-2.50%,-3.00%
207,5030,-2.24%,-2.40%
207,5385,-0.90%,-1.13%
208,1707,-1.51%,-1.54%
208,1883,-1.51%,-1.57%
208,2063,-1.89%,-2.09%
208,2193,-1.15%,-1.35%
208,2197,-1.33%,-1.73%
208,2211,-1.35%,-1.53%
208,2541,-1.06%,-1.42%
208,2910,-0.88%,-0.99%
208,3860,-1.87%,-2.11%
209,1857,-0.94%,-1.21%
209,1863,-2.74%,-2.82%
209,2313,-2.11%,-2.50%
209,2359,-1.41%,-1.63%
209,2362,-2.90%,-2.91%
209,3250,-2.33%,-2.41%
209,3293,-1.05%,-1.26%
209,3608,-0.79%,-1.03%
209,5083,-1.55%,-1.62%
209,5387,-1.05%,-1.33%
213,1429,-0.76%,-0.99%
213,1445,-0.96%,-1.03%
213,1448,-0.53%,-0.96%
213,1539,-0.38%,-0.70%
213,1622,-0.42%,-0.65%
213,1628,-0.92%,-1.20%
213,1986,-0.73%,-1.00%
213,2613,-0.36%,-0.65%
213,3809,-0.12%,-0.65%
213,5309,-0.80%,-1.00%
213,5471,-0.90%,-1.04%
214,1839,-1.37%,-1.92%
214,1894,-0.67%,-0.98%
214,1927,-2.11%,-2.53%
214,2073,-2.07%,-2.35%
214,2266,-1.99%,-2.32%
214,2316,-1.14%,-1.52%
214,4255,-1.28%,-1.66%
214,4285,-2.81%,-3.01%
214,5066,-1.94%,-2.21%
214,5082,-2.14%,-2.43%
215,1812,-1.31%,-1.47%
215,1895,-2.05%,-2.11%
215,1911,-2.71%,-2.75%
215,2323,-2.05%,-2.24%
215,2361,-1.00%,-1.11%
215,2506,-2.14%,-2.50%
215,2914,-1.15%,-1.50%
215,2966,-0.88%,-1.21%
215,3722,-1.61%,-1.93%
215,5285,-1.98%,-2.18%
215,5410,-1.47%,-1.73%
216,1724,-0.60%,-0.95%
216,1782,-1.39%,-1.45%
216,1937,-0.91%,-1.08%
216,2078,-1.09%,-1.25%
216,2115,-0.95%,-1.25%
216,2149,-0.77%,-0.96%
216,2199,-1.08%,-1.26%
216,2209,-0.89%,-1.09%
216,2684,-0.58%,-0.73%
216,2823,-1.05%,-1.11%
216,2852,-1.11%,-1.34%
216,3262,-1.37%,-1.44%
216,3581,-1.49%,-1.56%
217,1239,-1.10%,-1.33%
217,1595,-0.93%,-1.12%
217,1990,-1.13%,-1.30%
217,2426,-2.02%,-2.31%
217,2471,-2.46%,-2.60%
217,2725,-1.77%,-2.00%
217,2774,-1.99%,-2.20%
217,3812,-2.46%,-2.56%
217,5185,-3.72%,-2.80%
217,5203,-2.36%,-2.43%
218,1368,-1.64%,-1.79%
218,1427,-1.96%,-2.17%
218,1519,-1.67%,-1.87%
218,1564,-1.31%,-1.40%
218,2400,-0.96%,-1.11%
218,2572,-0.70%,-0.84%
218,2605,-0.92%,-1.06%
218,3251,-1.44%,-1.62%
218,3282,-0.87%,-0.95%
218,3486,-0.94%,-1.09%
218,3515,-1.28%,-1.48%
219,1594,-1.42%,-1.63%
219,2098,-3.75%,-3.32%
219,2666,-3.16%,-3.23%
219,2726,-2.56%,-2.59%
219,3447,-5.33%,-4.76%
219,3580,-2.11%,-2.15%
219,3792,-1.43%,-1.50%
219,5184,-2.80%,-2.62%
219,5466,-2.61%,-2.51%
219,5857,-3.24%,-2.46%
221,1289,-1.02%,-1.16%
221,1407,-1.28%,-1.51%
221,1441,-1.51%,-1.60%
221,1463,-1.39%,-1.65%
221,1503,-1.33%,-1.50%
221,1504,-2.85%,-2.58%
221,2309,-0.72%,-0.93%
221,3571,-1.81%,-1.91%
221,3784,-0.99%,-1.40%
221,5104,-3.32%,-2.50%
221,5499,-1.96%,-1.97%
222,1264,-1.00%,-1.34%
222,1330,-1.70%,-1.92%
222,1333,-1.46%,-1.57%
222,1433,-0.60%,-0.94%
222,1718,-0.64%,-0.94%
222,1750,-1.71%,-1.82%
222,2542,-0.29%,-0.70%
222,3206,-1.85%,-2.08%
222,3300,-0.70%,-0.96%
222,3840,-1.25%,-1.54%
222,5355,-0.60%,-0.70%
223,1331,-1.72%,-1.93%
223,1410,-1.52%,-1.91%
223,1495,-2.27%,-2.40%
223,2124,-1.63%,-1.91%
223,2429,-3.37%,-3.00%
223,2441,-2.15%,-2.15%
223,3502,-0.86%,-1.09%
223,3641,-2.99%,-3.10%
223,3765,-2.50%,-2.49%
223,3783,-4.44%,-3.44%
223,5409,-2.51%,-2.63%
225,1443,-1.86%,-2.08%
225,1510,-1.06%,-1.27%
225,1521,-2.93%,-3.28%
225,1961,-1.73%,-1.93%
225,2250,-2.42%,-2.47%
225,2447,-1.87%,-1.90%
225,2967,-1.52%,-1.75%
225,3342,-2.89%,-2.60%
225,3656,-2.74%,-2.60%
225,3749,-3.47%,-2.90%
225,4609,-2.41%,-2.60%
226,1623,-2.36%,-2.68%
226,1884,-2.69%,-2.69%
226,1945,-0.96%,-1.01%
226,2024,-0.81%,-0.89%
226,2064,-1.41%,-1.62%
226,2208,-0.47%,-0.79%
226,2365,-2.41%,-2.50%
226,2368,-2.56%,-2.38%
226,2480,-1.15%,-1.30%
226,2543,-1.70%,-1.75%
226,4276,-2.22%,-2.47%
227,1739,-1.21%,-1.20%
227,1948,-1.00%,-1.19%
227,2300,-1.68%,-2.10%
227,2603,-0.57%,-0.70%
227,3738,-0.83%,-0.91%
227,3838,-1.11%,-1.32%
227,4644,-0.90%,-0.99%
227,5040,-1.12%,-1.18%
227,5088,-1.00%,-1.13%
227,5381,-0.49%,-0.70%
228,1656,-0.95%,-1.22%
228,2278,-1.32%,-1.31%
228,2561,-0.60%,-0.77%
228,2597,-0.52%,-0.70%
228,2674,-0.37%,-0.70%
228,2909,-0.13%,-0.55%
228,3253,-0.96%,-1.19%
228,3281,-0.26%,-0.75%
228,3429,-0.72%,-0.85%
228,3514,-0.78%,-0.89%
228,5360,-0.16%,-0.55%
228,5445,-1.25%,-1.50%
229,1568,-0.51%,-0.70%
229,1770,-0.93%,-1.12%
229,1820,-0.92%,-0.95%
229,1885,-1.15%,-1.28%
229,2008,-0.57%,-0.70%
229,2287,-1.24%,-1.44%
229,2540,-0.09%,-0.70%
229,3223,-1.01%,-1.20%
229,4643,-1.17%,-1.33%
231,1769,-0.50%,-0.70%
231,1792,-0.55%,-0.70%
231,2059,-1.65%,-1.82%
231,2129,-0.50%,-0.70%
231,2318,-0.63%,-0.71%
231,2502,-1.28%,-1.40%
231,2588,-3.15%,-2.55%
231,2664,-0.20%,-0.70%
231,3228,-0.77%,-0.93%
231,5241,-1.59%,-1.62%
231,5356,-0.92%,-1.01%
232,1644,-0.34%,-0.55%
232,1794,-0.70%,-0.88%
232,1887,-0.80%,-0.96%
232,2169,-0.41%,-0.70%
232,2185,-0.35%,-0.70%
232,2255,-2.31%,-2.62%
232,2481,-0.98%,-1.13%
232,2528,-0.78%,-0.91%
232,2535,-1.05%,-1.14%
232,3412,-0.33%,-0.70%
232,3634,-0.93%,-1.00%
233,1529,-2.04%,-2.28%
233,2023,-1.69%,-1.92%
233,2205,-2.26%,-2.32%
233,2334,-2.74%,-2.54%
233,2340,-1.12%,-1.37%
233,2519,-0.75%,-0.90%
233,2888,-0.90%,-0.96%
233,2945,-2.11%,-2.37%
233,3501,-1.74%,-1.92%
233,4404,-0.97%,-1.16%
233,5200,-1.35%,-1.49%
233,5795,-1.24%,-1.43%
234,1537,-0.58%,-0.76%
234,1591,-1.56%,-1.61%
234,1823,-0.98%,-1.32%
234,1850,-1.22%,-1.40%
234,1886,-1.44%,-1.63%
234,2574,-1.52%,-1.58%
234,3633,-0.78%,-1.05%
234,5358,-1.12%,-1.18%
234,5469,-1.07%,-1.24%
234,5888,-1.50%,-1.72%
235,2019,-1.34%,-1.38%
235,2281,-2.31%,-2.55%
235,2420,-1.48%,-1.69%
235,2611,-1.00%,-1.08%
235,4501,-1.69%,-1.68%
235,5339,-2.59%,-2.70%
235,5379,-0.58%,-0.74%
235,5446,-0.43%,-0.70%
237,1607,-1.35%,-1.53%
237,1640,-1.67%,-1.74%
237,1684,-0.78%,-0.87%
237,1765,-0.90%,-0.98%
237,1935,-1.23%,-1.41%
237,2049,-1.11%,-1.33%
237,2230,-1.08%,-1.17%
237,2663,-0.93%,-1.07%
237,4348,-0.68%,-0.83%
237,5470,-0.84%,-0.92%
238,1479,-0.84%,-1.10%
238,1487,-2.41%,-2.25%
238,1576,-1.00%,-1.12%
238,1618,-2.46%,-2.68%
238,2276,-1.30%,-1.56%
238,2544,-1.52%,-1.93%
238,2817,-3.48%,-3.63%
238,2818,-3.69%,-3.35%
238,4631,-3.13%,-3.20%
238,5404,-2.62%,-2.82%
239,1480,-1.07%,-1.30%
239,1665,-2.36%,-2.47%
239,1728,-2.04%,-2.29%
239,1729,-1.04%,-1.28%
239,1745,-1.08%,-1.47%
239,1758,-1.38%,-1.56%
239,2035,-1.35%,-1.68%
239,2275,-1.02%,-1.12%
239,2388,-1.11%,-1.36%
239,3747,-2.60%,-2.68%
239,5374,-0.77%,-1.12%
242,497,-0.80%,-1.00%
242,526,-3.12%,-3.30%
242,1053,-1.45%,-1.88%
242,3294,-2.07%,-2.03%
242,3610,-3.63%,-3.30%
242,4450,-2.25%,-2.51%
242,5417,-3.42%,-3.15%
242,5418,-3.21%,-3.44%
242,6931,-3.86%,-3.47%
242,7290,-1.07%,-1.17%
243,922,-1.08%,-1.30%
243,1033,-1.24%,-1.47%
243,1142,-0.83%,-1.02%
243,1157,-1.37%,-1.55%
243,1160,-0.31%,-0.90%
243,1180,-0.59%,-0.75%
243,1327,-1.30%,-1.68%
243,1476,-1.88%,-2.26%
243,2691,-1.36%,-1.79%
243,2968,-0.96%,-1.10%
243,7087,-0.28%,-0.60%
246,854,-1.08%,-1.25%
246,1093,-1.52%,-1.72%
246,1547,-2.39%,-2.64%
246,1734,-3.56%,-2.61%
246,2020,-0.55%,-0.70%
246,2339,-1.60%,-1.79%
246,2491,-1.50%,-1.71%
246,2771,-1.38%,-1.42%
246,3255,-0.88%,-1.09%
246,3851,-1.77%,-1.98%
246,5403,-3.14%,-2.28%
247,1294,-1.04%,-1.09%
247,1304,-0.51%,-0.70%
247,1329,-0.97%,-0.97%
247,1378,-0.26%,-0.70%
247,1566,-1.44%,-1.50%
247,1639,-0.49%,-0.70%
247,1667,-0.78%,-0.70%
247,1962,-1.10%,-1.33%
247,1978,-0.24%,-0.70%
247,2679,-0.84%,-1.21%
247,4399,-0.75%,-0.90%
248,1388,-1.04%,-1.06%
248,1419,-1.47%,-1.68%
248,1425,-0.53%,-0.70%
248,1570,-0.57%,-0.70%
248,1647,-0.64%,-0.80%
248,1709,-0.70%,-0.77%
248,1804,-1.37%,-1.70%
248,2311,-0.63%,-0.80%
248,2819,-0.59%,-0.70%
248,4230,-1.12%,-1.17%
248,4231,-1.57%,-1.82%
248,5025,-1.09%,-1.11%
249,884,-2.02%,-2.09%
249,923,-1.66%,-1.70%
249,1141,-1.27%,-1.36%
249,1459,-1.74%,-1.81%
249,1557,-2.71%,-2.67%
249,1580,-2.63%,-2.64%
249,1601,-1.53%,-1.61%
249,3435,-1.79%,-1.82%
249,3529,-2.48%,-2.69%
249,5443,-2.30%,-2.33%
251,828,-2.12%,-2.15%
251,902,-0.36%,-0.70%
251,995,-1.89%,-1.93%
251,996,-0.32%,-0.70%
251,1013,-0.18%,-0.60%
251,1310,-1.09%,-1.25%
251,1356,-1.08%,-1.27%
251,1629,-1.29%,-1.14%
251,1991,-3.09%,-2.51%
251,4235,-1.86%,-1.94%
251,4417,-2.74%,-2.60%
253,143,-0.71%,-1.08%
253,204,-0.45%,-0.75%
253,410,-0.76%,-1.02%
253,430,-1.27%,-1.57%
253,431,-1.40%,-1.59%
253,491,-1.65%,-2.04%
253,653,-1.16%,-1.26%
253,655,-0.53%,-0.70%
253,736,-0.56%,-0.70%
253,3362,-1.15%,-1.25%
254,257,-0.93%,-1.04%
254,294,-0.57%,-0.82%
254,333,-0.70%,-0.87%
254,694,-2.02%,-2.00%
254,701,-1.07%,-1.39%
254,1263,-1.64%,-1.99%
254,1341,-1.73%,-1.99%
254,3363,-0.98%,-1.31%
254,5728,-1.05%,-1.28%
256,445,-1.15%,-1.56%
256,589,-1.76%,-2.06%
256,665,-0.56%,-0.95%
256,709,-0.87%,-1.60%
256,729,-1.01%,-1.50%
256,760,-0.30%,-0.70%
256,1165,-1.58%,-1.89%
256,1170,-2.38%,-1.80%
256,1675,-1.27%,-1.37%
256,4118,-1.37%,-1.60%
257,282,-1.08%,-1.45%
257,299,-1.41%,-1.67%
257,569,-0.68%,-0.78%
257,692,-1.02%,-1.44%
257,711,-0.46%,-1.20%
257,1048,-0.74%,-0.84%
257,1189,-0.81%,-1.01%
257,1190,-0.70%,-0.85%
257,1234,-0.78%,-0.88%
257,2654,-0.63%,-0.89%
257,5236,-1.22%,-1.61%
258,545,-0.64%,-0.74%
258,552,-0.66%,-0.76%
258,689,-1.11%,-1.50%
258,696,-0.74%,-0.84%
258,739,-1.66%,-1.87%
258,825,-1.49%,-1.71%
258,1113,-0.83%,-1.00%
258,1247,-0.44%,-0.76%
258,1259,-1.23%,-1.33%
258,1505,-0.88%,-1.25%
258,1743,-0.53%,-0.74%
259,591,-1.11%,-1.25%
259,693,-0.21%,-0.70%
259,702,-0.65%,-1.00%
259,1139,-1.06%,-1.37%
259,1140,-0.70%,-1.10%
259,1233,-0.72%,-0.99%
259,1426,-1.02%,-1.15%
259,1478,-1.16%,-1.26%
259,1569,-1.06%,-1.25%
259,2638,-0.54%,-0.80%
259,4461,-0.52%,-0.70%
260,493,-1.62%,-1.74%
260,507,-0.75%,-1.06%
260,519,-1.37%,-1.58%
260,571,-1.34%,-1.66%
260,584,-1.09%,-1.27%
260,719,-1.42%,-1.68%
260,720,-1.78%,-1.99%
260,1210,-1.36%,-1.70%
260,2628,-1.71%,-1.99%
260,2783,-2.16%,-2.30%
260,3894,-1.67%,-1.99%
262,844,-0.96%,-1.22%
262,852,-1.37%,-1.69%
262,1003,-1.20%,-1.47%
262,1307,-2.20%,-2.50%
262,1386,-1.05%,-1.20%
262,1548,-1.21%,-1.30%
262,2956,-1.87%,-2.18%
262,4323,-3.15%,-2.76%
262,4699,-1.19%,-1.55%
262,5038,-1.55%,-1.80%
263,802,-0.98%,-1.02%
263,933,-1.65%,-1.89%
263,958,-1.09%,-1.25%
263,1490,-2.27%,-2.57%
263,1740,-1.08%,-1.13%
263,1955,-1.78%,-1.98%
263,2532,-1.10%,-1.33%
263,3837,-1.02%,-1.24%
263,5044,-0.13%,-0.70%
263,5398,-3.76%,-3.55%
264,786,-3.94%,-2.99%
264,1420,-1.87%,-2.28%
264,1553,-1.73%,-2.02%
264,1814,-1.42%,-1.90%
264,1848,-1.98%,-2.26%
264,1898,-1.80%,-1.90%
264,4405,-2.07%,-2.55%
264,5352,-1.43%,-1.84%
264,5442,-1.94%,-2.20%
265,1401,-2.34%,-2.60%
265,1596,-3.32%,-2.70%
265,1779,-2.24%,-2.40%
265,2215,-2.41%,-2.40%
265,3400,-1.51%,-1.80%
265,3790,-1.30%,-1.64%
265,4286,-2.08%,-2.54%
265,4531,-2.00%,-2.49%
266,1256,-1.93%,-2.20%
266,1497,-2.46%,-2.59%
266,1556,-2.35%,-2.64%
266,3601,-1.75%,-2.39%
266,4049,-1.95%,-2.11%
266,4529,-1.48%,-1.55%
266,5486,-1.63%,-1.94%
266,5965,-2.87%,-2.70%
267,1933,-2.37%,-2.57%
267,1998,-2.16%,-2.45%
267,2204,-1.68%,-2.15%
267,2816,-1.69%,-1.80%
267,3725,-1.58%,-1.98%
267,5402,-2.68%,-2.67%
267,5617,-1.41%,-1.84%
267,5781,-1.87%,-3.00%
268,1681,-0.77%,-0.98%
268,1737,-2.67%,-2.67%
268,1892,-2.11%,-2.40%
268,1897,-1.25%,-1.63%
268,1938,-2.50%,-2.92%
268,2815,-1.16%,-1.35%
268,3004,-3.19%,-3.38%
268,5485,-2.64%,-2.65%
269,1228,-1.21%,-1.58%
269,1404,-0.96%,-1.16%
269,1489,-2.32%,-2.28%
269,1668,-2.29%,-2.50%
269,1735,-1.12%,-1.35%
269,3891,-2.73%,-2.77%
269,3893,-2.09%,-2.51%
269,5199,-0.88%,-1.23%
269,5276,-1.18%,-1.41%
270,1211,-0.93%,-1.16%
270,1377,-1.29%,-1.63%
270,1413,-0.74%,-1.10%
270,1531,-1.85%,-1.96%
270,3434,-1.10%,-1.53%
270,3597,-1.25%,-1.41%
270,4641,-0.87%,-1.21%
270,5060,-0.61%,-1.02%
271,196,-1.82%,-2.03%
271,216,-1.82%,-2.02%
271,222,-1.79%,-1.85%
271,233,-1.03%,-1.17%
271,237,-1.08%,-1.15%
271,252,-0.89%,-1.01%
271,262,-1.21%,-1.57%
271,302,-1.24%,-1.32%
271,352,-0.35%,-0.70%
271,596,-0.48%,-0.70%
271,833,-0.71%,-0.81%
272,198,-1.84%,-2.13%
272,213,-0.95%,-1.23%
272,224,-1.64%,-1.73%
272,253,-0.96%,-1.20%
272,317,-0.44%,-0.73%
272,435,-0.68%,-0.76%
272,436,-0.53%,-0.70%
272,1395,-1.84%,-2.13%
272,4259,-0.54%,-0.70%
272,4695,-1.62%,-1.98%
273,254,-0.96%,-1.09%
273,422,-0.46%,-0.70%
273,454,-0.70%,-0.86%
273,481,-0.69%,-0.79%
273,492,-1.04%,-1.26%
273,506,-1.03%,-1.11%
273,550,-1.06%,-1.12%
273,612,-1.56%,-1.68%
273,798,-0.39%,-0.70%
273,936,-0.97%,-1.22%
273,2934,-1.33%,-1.40%
275,200,-1.31%,-1.43%
275,334,-0.64%,-0.90%
275,343,-0.86%,-1.00%
275,480,0.16%,-0.70%
275,609,-0.60%,-1.01%
275,1451,-0.60%,-0.70%
275,1454,-1.02%,-1.22%
275,1602,-1.47%,-1.84%
275,1690,-1.27%,-1.34%
275,2728,-0.84%,-1.08%
275,3210,-1.53%,-1.97%
275,3602,-2.17%,-2.45%
278,197,-1.58%,-1.77%
278,199,-0.90%,-0.97%
278,603,-1.64%,-1.74%
278,1028,-1.46%,-1.64%
278,1125,-2.12%,-2.36%
278,1323,-1.50%,-1.67%
278,1421,-0.56%,-0.73%
278,1713,-0.47%,-0.70%
278,3459,-1.79%,-2.11%
278,3460,-1.45%,-1.82%
278,5157,-0.64%,-0.74%
279,633,-1.03%,-1.09%
279,636,-0.61%,-0.83%
279,775,-1.99%,-2.09%
279,792,0.18%,-0.70%
279,796,-0.34%,-0.70%
279,830,-0.51%,-0.70%
279,891,-1.11%,-1.44%
279,957,-0.23%,-0.70%
279,2231,-1.78%,-1.97%
279,4511,-1.77%,-1.92%
279,5399,-0.64%,-0.93%
280,1674,-4.37%,-3.85%
280,1703,-1.55%,-1.60%
280,2027,-1.06%,-1.20%
280,2233,-1.92%,-2.00%
280,2551,-1.27%,-1.25%
280,2566,-1.21%,-1.35%
280,2756,-2.08%,-2.22%
280,2790,-2.82%,-2.35%
280,2894,-1.03%,-1.20%
280,4423,-1.85%,-1.75%
281,1968,-4.02%,-3.95%
281,2009,-4.49%,-3.66%
281,2045,-2.59%,-2.50%
281,2577,-3.57%,-3.25%
281,3489,-2.83%,-3.50%
281,3780,-2.49%,-2.25%
281,5344,-3.61%,-3.25%
282,1875,-2.05%,-2.29%
282,2279,-4.36%,-3.80%
282,2435,-3.09%,-3.75%
282,3481,-1.59%,-1.90%
282,3490,-1.74%,-2.50%
282,5228,-2.90%,-2.40%
282,5382,-2.18%,-2.75%
283,2194,-1.48%,-1.57%
283,2258,-2.04%,-2.09%
283,2357,-1.58%,-2.00%
283,3035,-2.97%,-2.80%
283,5753,-3.04%,-2.65%
283,5936,-0.56%,-1.00%
283,5941,-2.04%,-2.50%
283,5968,-2.17%,-2.50%
284,1736,-1.52%,-1.69%
284,1741,-1.90%,-2.11%
284,1860,-2.86%,-3.25%
284,2041,-1.85%,-2.00%
284,2555,-3.52%,-2.95%
284,3802,-2.15%,-2.25%
284,5039,-1.92%,-1.80%
284,5384,-1.31%,-1.47%
284,5436,-2.90%,-3.25%
284,5450,-2.15%,-2.50%
285,1715,-1.31%,-1.52%
285,1890,-1.98%,-1.80%
285,2272,-2.28%,-2.20%
285,2419,-1.35%,-2.00%
285,2460,-1.80%,-2.00%
285,2514,-1.04%,-1.40%
285,2560,-1.41%,-1.75%
285,2791,-1.83%,-2.00%
285,2931,-2.28%,-2.60%
285,3843,-1.52%,-1.57%
285,4378,-1.17%,-1.36%
286,1406,-1.61%,-1.80%
286,1825,-2.11%,-2.25%
286,2437,-0.84%,-1.00%
286,2564,-1.40%,-1.53%
286,2647,-1.17%,-1.33%
286,3344,-1.02%,-1.50%
286,3573,-1.53%,-1.80%
286,4514,-0.83%,-1.25%
286,5105,-1.25%,-1.41%
286,6952,-0.96%,-1.25%
287,1523,-2.06%,-2.29%
287,1525,-1.30%,-1.50%
287,1730,-0.98%,-1.16%
287,2295,-2.14%,-2.30%
287,2795,-1.35%,-1.54%
287,3869,-0.91%,-1.10%
287,4191,-0.80%,-1.00%
287,4350,-1.10%,-1.19%
287,7032,-1.78%,-2.00%
288,1631,-1.91%,-2.18%
288,1682,-1.38%,-1.68%
288,1759,-0.85%,-1.05%
288,1773,-1.34%,-1.50%
288,1811,-2.14%,-2.75%
288,3219,-2.07%,-2.25%
288,3265,-0.78%,-1.15%
288,3831,-3.39%,-3.30%
288,4623,-2.11%,-2.20%
288,5488,-1.99%,-2.40%
289,1687,-2.24%,-2.30%
289,1688,-1.32%,-1.45%
289,1841,-0.94%,-1.25%
289,2529,-1.92%,-2.20%
289,3214,-1.79%,-2.02%
289,3216,-0.63%,-1.10%
289,3644,-0.64%,-1.00%
289,4064,-1.81%,-1.89%
289,5253,-0.83%,-1.00%
289,5922,-1.97%,-2.10%
290,1424,-2.48%,-2.85%
290,1524,-1.58%,-1.80%
290,1969,-2.27%,-2.70%
290,2160,-2.23%,-2.20%
290,2808,-2.20%,-2.20%
290,2821,-1.94%,-2.30%
290,4476,-1.84%,-1.75%
290,5847,-1.33%,-1.50%
291,1833,-1.99%,-2.22%
291,1852,-2.31%,-2.50%
291,2136,-1.24%,-1.41%
291,2438,-1.11%,-1.50%
291,2520,-1.66%,-1.75%
291,3588,-2.11%,-2.25%
291,4258,-1.31%,-1.38%
291,4638,-1.66%,-1.86%
291,5343,-1.70%,-2.00%
291,5731,-1.62%,-1.68%
291,5779,-1.01%,-1.30%
292,1904,-1.33%,-1.48%
292,2015,-1.16%,-1.20%
292,2038,-2.16%,-2.55%
292,3077,-1.63%,-1.70%
292,3639,-1.52%,-1.82%
292,5227,-1.56%,-1.70%
292,5880,-1.23%,-1.25%
292,5969,-1.67%,-1.75%
293,1867,-1.64%,-1.85%
293,2248,-2.07%,-2.20%
293,2412,-2.16%,-2.25%
293,2436,-2.25%,-2.40%
293,2850,-1.02%,-1.25%
293,3720,-3.86%,-3.30%
293,3804,-2.10%,-2.25%
294,515,-1.36%,-1.57%
294,1036,-1.31%,-1.35%
294,1179,-2.56%,-2.36%
294,1217,-1.33%,-1.37%
294,1242,-2.05%,-2.09%
294,1317,-3.89%,-3.06%
294,1663,-1.10%,-1.27%
294,1795,-1.34%,-1.54%
294,2440,-2.34%,-2.58%
294,4334,-1.95%,-2.18%
294,4428,-1.83%,-2.06%
296,1191,-1.14%,-1.27%
296,1287,-1.56%,-1.69%
296,1288,-0.79%,-0.82%
296,1579,-1.69%,-1.75%
296,2137,-2.12%,-2.38%
296,2256,-2.46%,-2.51%
296,2845,-1.47%,-1.53%
296,3182,-2.57%,-2.37%
296,3612,-2.44%,-2.57%
296,5346,-1.64%,-1.78%
297,1614,-2.37%,-2.45%
297,1751,-1.78%,-1.99%
297,1816,-1.28%,-1.57%
297,1953,-1.65%,-1.87%
297,2058,-2.69%,-2.51%
297,4250,-2.07%,-2.13%
297,4484,-2.54%,-2.36%
297,5118,-1.52%,-1.74%
297,5254,-1.69%,-1.86%
297,5292,-2.48%,-2.60%
298,1132,-1.46%,-1.58%
298,1498,-1.84%,-1.97%
298,1558,-1.35%,-1.45%
298,1842,-2.67%,-2.65%
298,2704,-0.99%,-1.06%
298,3304,-1.32%,-1.38%
298,3305,-1.33%,-1.51%
298,3658,-3.77%,-2.99%
298,5320,-1.80%,-1.89%
299,1237,-1.56%,-1.76%
299,1321,-1.54%,-1.70%
299,1372,-2.99%,-2.78%
299,1664,-1.69%,-1.90%
299,2247,-1.42%,-1.51%
299,2836,-1.71%,-1.85%
299,3889,-1.85%,-1.92%
299,4458,-1.16%,-1.28%
299,4499,-0.98%,-1.30%
299,4564,-1.12%,-1.21%
299,5046,-1.36%,-1.54%
299,5743,-0.82%,-1.00%
300,1166,-0.08%,-0.50%
300,1268,-1.68%,-1.74%
300,1348,-1.25%,-1.47%
300,1352,-1.27%,-1.34%
300,1392,-2.35%,-2.50%
300,1767,-1.16%,-1.35%
300,2580,-1.50%,-1.55%
300,2772,-0.50%,-0.70%
300,4065,-1.11%,-1.31%
300,4273,-1.29%,-1.40%
300,7243,-0.46%,-0.65%
301,1197,-2.25%,-2.40%
301,1354,-1.95%,-2.11%
301,1379,-2.97%,-2.80%
301,1502,-1.24%,-1.38%
301,1527,-0.56%,-1.00%
301,1641,-1.72%,-1.92%
301,1950,-0.74%,-0.84%
301,2000,-0.57%,-1.00%
301,2730,-1.40%,-1.58%
301,4459,-0.99%,-1.07%
301,5851,-2.40%,-2.50%
302,1236,-2.73%,-2.62%
302,1298,-2.14%,-2.25%
302,1300,-1.47%,-1.70%
302,1355,-0.71%,-0.75%
302,1661,-1.67%,-1.80%
302,3701,-1.40%,-1.59%
302,3825,-0.88%,-1.06%
302,3864,-1.00%,-1.50%
302,7009,-0.81%,-1.03%
302,7179,-0.90%,-1.01%
302,7238,-0.58%,-0.70%
304,948,-2.92%,-2.79%
304,1039,-1.07%,-1.17%
304,1060,-2.46%,-2.51%
304,1064,-2.51%,-2.32%
304,1096,-1.13%,-1.25%
304,1131,-0.81%,-0.92%
304,1290,-1.78%,-1.91%
304,1337,-0.87%,-1.00%
304,1662,-2.31%,-2.37%
304,4224,-1.24%,-1.31%
304,4410,-1.85%,-1.99%
305,1034,-1.94%,-2.00%
305,1209,-1.81%,-2.00%
305,1385,-3.26%,-3.00%
305,1464,-4.16%,-3.80%
305,4274,-1.51%,-1.57%
305,4594,-1.09%,-1.28%
305,5085,-2.38%,-2.42%
305,5298,-4.19%,-3.51%
305,5481,-4.77%,-4.26%
305,5745,-0.99%,-1.09%
306,1027,-2.65%,-2.69%
306,1156,-1.91%,-2.15%
306,1666,-3.20%,-3.35%
306,1821,-3.36%,-3.36%
306,2005,-3.04%,-2.45%
306,2134,-4.47%,-3.80%
306,3371,-3.66%,-3.40%
306,4574,-3.73%,-3.06%
306,5747,-0.40%,-0.70%
306,5879,-2.83%,-3.02%
308,1322,-1.45%,-1.70%
308,1552,-2.40%,-2.50%
308,1613,-2.14%,-2.25%
